COLL (BREACHACHA CASTLE GDN),,,,,,,,,,,,,,,,,,,,
Grid ref,NM 16475 54276,Long,-6.620578,Lat,56.59438,Elevation,30,ft,,,,,,,,,,,,
Station no,5456/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,4.5,2.89,6.62,6.79,2.65,1.66,0.54,5.36,,,,,,,,
February,,,,,4.5,1.63,3.65,4.6,5.2,2.63,3.36,2.5,,,,,,,,
March,,,,,2.34,3.13,1.53,5.19,4.17,3.66,2.17,2.37,,,,,,,,
April,,,,,3.15,1.27,2.52,0.8,1.67,1.96,0.98,1.89,,,,,,,,
May,,,,,1.18,3.12,2.97,3.26,1.85,2.24,0.83,2.47,,,,,,,,
June,,,,,2.12,3.25,2.52,5.07,1.41,1.71,1.3,2.69,,,,,,,,
July,,,,,2.77,2.24,3.82,5.59,6.06,3.32,3.05,3.8,,,,,,,,
August,,,,,5.26,2.96,3.25,4.44,3.23,2.78,4.61,4.71,,,,,,,,
September,,,,,5.16,3.36,5.81,4.36,3.7,3.19,2.02,5.49,,,,,,,,
October,,,,,7.03,4.8,3.85,7.93,1.4,7.17,3.92,4.27,,,,,,,,
November,,,,,5.63,4.8,2.13,7.94,5.8,5.81,4.38,2.18,,,,,,,,
December,,,,,3.22,6.13,2.51,4.43,2.92,6.48,2.42,7.29,,,,,,,,
Total,,,,,46.86,39.58,41.18,60.4,40.06,42.61,29.58,45.02,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5456/5,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
