"COLL, THE MANSE",,,,,,,,,,,,,,,,,,,,
Grid ref,NM 22403 56982,Long,-6.52724,Lat,56.622165,Elevation,100,ft,,,,,,,,,,,,
Station no,RR6118,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,6.17,6,4.04,3.85,5.97,4.43,6.11,,,5.5,3.5,7.55,,,,,
February,,,,5.83,4.66,5.8,2.96,4.75,1.52,3.59,,,1.38,7.35,6.4,,,,,
March,,,4.16,1.81,5.88,2.12,2.09,3.38,1.08,2.71,,,1.23,1.85,3.15,,,,,
April,,,4.09,3.88,0.55,1.94,1.75,2.04,2.06,1.91,,,1.68,2.2,1.66,,,,,
May,,,2.15,2.18,3.58,2.71,2.75,0.49,4.48,2.35,,,6.58,1.95,2.55,,,,,
June,,,3.56,2.81,1.22,2.67,1.58,0.61,3.53,,,,2.45,3.55,2.5,,,,,
July,,,3.52,2.23,5.14,2.85,2.77,5.3,4.12,,,,2.15,3.75,3.47,,,,,
August,,,3.82,5.47,5.02,1.1,3.91,2.99,5.61,4.6,,,4.85,4.75,5.28,,,,,
September,,,5.15,3.97,4.35,8.49,3.06,3.32,2.91,3.09,,,6.1,6.5,0.04,,,,,
October,,,8.05,5.74,6.18,4.23,3.95,4.03,3.32,5.41,,,3.45,7.75,2.9,,,,,
November,,,9.15,4.85,6.78,3.09,5.96,4.31,6.23,1.97,,,7.1,3.45,7.6,,,,,
December,,,5.17,6.2,5.71,3.72,6.01,4.91,6.05,4.88,,,3.82,6.78,6.83,,,,,
Total,,,,51.14,55.07,42.76,40.64,42.1,45.34,,,,46.29,53.38,49.93,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR6118,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
