COLL ACHA SCHOOL,,,,,,,,,,
Grid ref,NM 18707 55020,Long,-6.585154,Lat,56.602391,Elevation,100,ft,,
Station no,RR6116,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,4.62,5.32,7.54,5.34,5.16
February,,,,,,6.42,3.48,4.76,2.44,3.82
March,,,,,,2.3,2.3,3.24,3.14,3.58
April,,,,,1.1,3.1,2.72,2.15,2.3,2.4
May,,,,,3.52,2.78,3.16,1.46,4.2,2.72
June,,,,,1.48,3.54,1.56,1.84,3.66,1.7
July,,,,,4.9,3.76,3.16,6.06,3.38,1.56
August,,,,,6.38,1.16,3.1,2.68,3.2,5.58
September,,,,,5.78,8.86,3.76,3.9,2.92,3.6
October,,,,,8.46,4.38,4.08,3.6,3.88,
November,,,,,7.44,3.54,6.84,6.12,5.72,
December,,,,,6.18,5.95,7.16,5.38,6.32,
Total,,,,,,50.41,46.64,48.73,46.5,
,,,,,,,,,,
Station no,RR6116,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
