COLL ARINAGOUR HOTEL,,,,,,,,,,
Grid ref,NM 22476 57323,Long,-6.526432,Lat,56.625262,Elevation,15,ft,,
Station no,RR6116,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,6.47,,,,,,,,,
February,1.34,,,,,,,,,
March,4.49,,,,,,,,,
April,1.33,,,,,,,,,
May,1.37,,,,,,,,,
June,4.25,,,,,,,,,
July,5.04,,,,,,,,,
August,4.85,,,,,,,,,
September,4.28,,,,,,,,,
October,5.99,,,,,,,,,
November,9.02,,,,,,,,,
December,2.15,,,,,,,,,
Total,50.58,,,,,,,,,
,,,,,,,,,,
Station no,RR6116,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
