COLL (ACHA LODGE),,,,,,,,,,,,,,,,,,,,
Grid ref,NM 18571 54806,Long,-6.587133,Lat,56.600393,Elevation,94,ft,,,,,,,,,,,,
Station no,5456/6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,3.18,6.66,7.87,3.25,1.75,0.67,7.25,,,,,,,,
February,,,,,,2,3.88,4,6.33,3.32,4.57,2.9,,,,,,,,
March,,,,,,3.03,1.52,5.22,4.16,4.6,2.25,2.97,,,,,,,,
April,,,,,,1.53,2.85,0.8,1.71,2.55,1.59,2.07,,,,,,,,
May,,,,,,3.87,3.11,3.33,2.09,2.42,0.94,2.77,,,,,,,,
June,,,,,,2.35,3.02,5.12,2.29,2.04,1.52,3.33,,,,,,,,
July,,,,,2.7,2.77,3.9,5.49,6.13,4.05,3.31,4.62,,,,,,,,
August,,,,,5.62,3.4,3.71,4.79,2.19,3.04,5.39,5.93,,,,,,,,
September,,,,,5.43,4.03,5.16,4.84,3.95,4.69,3.02,6.09,,,,,,,,
October,,,,,8.58,5.37,4.44,8.86,1.56,8.41,5,5.4,,,,,,,,
November,,,,,6.33,5.04,1.44,8.23,6.81,8.22,5.59,3.63,,,,,,,,
December,,,,,3.44,6.71,2.99,6.07,3.79,8.71,3.4,10.44,,,,,,,,
Total,,,,,,43.28,42.68,64.62,44.26,53.8,37.25,57.4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5456/6,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
