"BOLTON BELMONT SLATER LANE",,,,,,,,,,,,
Grid ref,SD661189,Long,-2.514524,Lat,53.665474,,,,,,,
Station no,2888,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,3.05,7.96,2.54,4.79,,,
February,,,,,,4.19,4.35,2.51,5.83,,,
March,,,,,,4.67,4.54,4.72,3.94,,,
April,,,,,,4.80,3.01,3.16,3.19,,,
May,,,,,,1.26,4.82,5.25,3.57,,,
June,,,,,,2.73,2.72,10.72,2.66,,,
July,,,,,,3.63,2.89,4.16,7.31,,,
August,,,,,,6.10,5.57,7.27,5.07,,,
September,,,,,,4.24,2.71,1.41,5.71,,,
October,,,,,,6.41,8.95,4.32,2.48,,,
November,,,,,,6.90,5.57,4.53,4.92,,,
December,,,,,,1.46,5.87,5.37,3.79,,,
Total,,,,,48.42,49.44,58.96,55.96,53.26,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,49.44,58.96,55.96,53.26,0.00,,
Difference,NaN,NaN,NaN,NaN,48.42,0.00,0.00,0.00,0.00,NaN,,
