KENDAL (KENT LEA),,,,,,,,,,,,,,,,,,,,
Grid ref,SD514943,Long,-2.7490522,Lat,54.341922,Elevation,165,ft,,,,,,,,,,,,
Station no,3720/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,5.1,7.44,2.47,6.21,4.61,9.02,6.23,2.66,1.02,6.82,9.42,6.58,4.51,6.62,5.64,,,
February,,,4.07,0.3,7.59,2.14,7.74,3.23,6.02,1.92,5.67,1.98,3.61,2.43,6.39,4.17,0.78,,,
March,,,3.84,3.35,1.76,2.98,1.59,3.51,3.08,6.13,3.46,4.28,1.58,0.42,3.34,2.68,5.07,,,
April,,4.13,2.35,3.83,4.86,0.84,3.25,0.71,2.44,2.09,1.65,2.86,3.61,3.51,2.9,1.73,6.26,,,
May,,4.8,2.67,4.61,0.5,1.01,2.9,5.87,0.86,1.03,3.54,4.77,5.41,3.04,4.39,1.55,4.02,,,
June,,2.54,2.74,3.48,6.07,4.36,2.76,5.71,3.84,0.88,0.48,0.8,5.64,3.78,5.31,5.16,3.9,,,
July,,6.21,3.46,2.01,2.29,5.24,3.61,7.36,8.79,5.27,2.87,4.61,5.17,3.97,2.63,6.68,5,,,
August,,1.77,3.57,4.45,3.63,3.88,2.42,3.71,2.79,1.44,5.42,5.61,8.97,4.55,2.35,5.08,0.21,,,
September,,6.64,1.29,7.07,9.31,6.44,5.49,2.72,2.23,4.4,1.82,7.04,5.6,6,4.88,8.55,4.74,,,
October,,8.4,5.76,8.14,7.36,5.03,2.42,13.74,1.91,6.18,7.23,5.74,7.06,5.23,7.32,0.95,0.82,,,
November,,4.12,2.11,1.12,5.52,5.15,1.54,8.25,8.9,6.66,3.85,1.4,2.88,8.88,0.3,9.22,9.43,,,
December,,6.38,1.21,8.71,3.9,8.27,4.99,5.86,3.42,6.26,3.51,7.94,3.11,5.68,3.54,6.65,3.21,,,
Total,,,38.17,54.51,55.26,51.55,43.32,69.69,50.51,44.92,40.52,53.85,62.06,54.07,47.86,59.04,49.08,,,
,,,,,,,,,,,,,,,,,,,,
"1932 Jan, Feb, Mar and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,
1942 total,,,,,,,,,,,,,,,,,,,,
