SYSTON PARK,,,,,,,,,,,,
Grid ref,SK941407,Long,-0.601,Lat,52.955,Elevation,200,ft,,,,
Station no,RR4247,,,,,,,,,,,
,,,,,,,,,,,,
,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898
January,2.86,0.62,1.34,2.32,1.07,0.95,1.29,1.50,2.93,1.24,2.35,0.71
February,0.67,1.71,1.64,0.57,0.64,2.09,2.45,1.86,0.43,0.34,3.17,0.40
March,1.33,2.66,2.43,1.48,1.13,1.03,0.37,0.55,1.78,2.41,2.30,1.55
April,1.08,2.04,3.01,0.65,1.45,1.35,0.31,1.97,1.71,0.90,1.28,1.79
May,2.24,0.76,4.48,2.67,3.23,1.90,1.86,2.25,0.64,0.67,1.18,2.40
June,0.52,1.74,0.50,1.06,1.97,2.60,0.66,2.59,0.98,1.84,3.14,1.24
July,1.13,4.76,1.32,2.46,3.10,1.65,3.24,2.85,2.68,2.02,0.48,1.12
August,0.68,1.86,3.20,1.54,3.05,1.16,1.56,2.56,1.89,1.33,3.89,2.97
September,2.79,2.19,2.22,0.64,1.57,2.65,1.17,0.73,0.29,3.87,2.54,0.55
October,1.21,0.60,3.83,0.86,4.10,4.91,1.62,2.98,2.65,3.36,0.89,3.31
November,1.98,3.37,0.48,3.52,3.20,0.97,2.41,2.19,2.91,1.17,1.32,2.19
December,0.87,1.84,1.66,0.79,2.63,0.68,2.26,1.50,2.10,3.48,1.95,1.65
Total,17.36,24.15,26.11,18.56,27.14,21.94,19.20,23.53,20.99,22.63,24.49,19.88
,,,,,,,,,,,,
TYRain_1880-1889_08_pt1/018,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/140,,,,,,,,,,,,
