"GRANTHAM SYSTON PARK",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4247,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,,,,,,,,2.86,0.62,1.34,,
February,,,,,,,,0.67,1.71,1.64,,
March,,,,,,,,1.33,2.66,2.43,,
April,,,,,,,,1.08,2.04,3.01,,
May,,,,,,,,2.24,0.76,4.48,,
June,,,,,,,,0.52,1.74,0.50,,
July,,,,,,,,1.13,4.76,1.32,,
August,,,,,,,,0.68,1.86,3.20,,
September,,,,,,,,2.79,2.19,2.22,,
October,,,,,,,,1.21,0.60,3.83,,
November,,,,,,,,1.98,3.37,0.48,,
December,,,,,,,,0.87,1.84,1.66,,
Total,,,,,,,,17.36,24.15,26.11,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.36,24.15,26.11,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,,
