GARSTANG (SCORTON),,,,,,,,,,,,,,,,,,,,
Grid ref,SD502488,Long,-2.759983,Lat,53.932914,Elevation,92,ft,,,,,,,,,,,,
Station no,3061/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,8.11,2.65,2.52,4.72,4.27,1.98,3.96,2.55,4.27,4.1,4.3,2.98,5.1
February,,,,,,,,2.22,1.92,4.43,3.87,1.08,1.55,4.3,2.02,0.52,3.63,5.78,0.87,3.28
March,,,,,,,,2.59,2.6,2.02,4.93,2.41,0.89,2.59,1.53,1.22,2.99,1.59,2.49,1.74
April,,,,,,,,1.68,4.23,2.45,2.47,3.45,3.34,1.2,2.39,1.82,0.52,1.6,2.8,2.88
May,,,,,,,,0.9,2.14,1.53,2.08,2.36,2.26,2.9,3.74,2.19,2.76,4.76,1.68,2.91
June,,,,,,,,5.28,1.03,3.5,1.05,4.29,2.65,4.49,3.59,2.65,2.2,4.78,3.8,1.4
July,,,,,,,,2.74,3.63,4.66,3.27,1.96,5.2,6.43,1.39,4.25,4.69,3.19,5.02,6.13
August,,,,,,,,3.92,3.07,7.28,4.02,7.58,5.23,6.53,1.17,12.1,4.64,3.81,0.45,4.83
September,,,,,,,,4.95,1.25,7.89,4.01,3.37,5.49,6.77,2.65,3.59,5.79,6.06,0.41,3.55
October,,,,,,,,3.16,5.68,3.61,1.93,4.82,2.12,9.41,2.49,3.33,6.04,4.39,4.15,2.85
November,,,,,,,,3.76,5.33,4.69,8.2,1.94,5.01,6.55,2.02,1.41,1.34,2.6,5.66,9.16
December,,,,,,,,3.17,5.94,2.7,9.58,3.88,2.06,5.3,4.65,4.91,4.67,3.74,9.07,4.62
Total,,,,,,,,42.48,39.47,47.28,50.13,41.41,37.78,60.43,30.19,42.26,43.37,46.6,39.38,48.45
