"GARSTANG (SCORTON)",,,,,,,,,,,,
Grid ref,SD502488,Long,-2.759983,Lat,53.932914,,,,,,,
Station no,3061/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.72,4.27,1.98,3.96,2.55,4.27,4.10,4.30,2.98,5.10,,
February,3.87,1.08,1.55,4.30,2.02,0.52,3.63,5.78,0.87,3.28,,
March,4.93,2.41,0.89,2.59,1.53,1.22,2.99,1.59,2.49,1.74,,
April,2.47,3.45,3.34,1.20,2.39,1.82,0.52,1.60,2.80,2.88,,
May,2.08,2.36,2.26,2.90,3.74,2.19,2.76,4.76,1.68,2.91,,
June,1.05,4.29,2.65,4.49,3.59,2.65,2.20,4.78,3.80,1.40,,
July,3.27,1.96,5.20,6.43,1.39,4.25,4.69,3.19,5.02,6.13,,
August,4.02,7.58,5.23,6.53,1.17,12.10,4.64,3.81,0.45,4.83,,
September,4.01,3.37,5.49,6.77,2.65,3.59,5.79,6.06,0.41,3.55,,
October,1.93,4.82,2.12,9.41,2.49,3.33,6.04,4.39,4.15,2.85,,
November,8.20,1.94,5.01,6.55,2.02,1.41,1.34,2.60,5.66,9.16,,
December,9.58,3.88,2.06,5.30,4.65,4.91,4.67,3.74,9.07,4.62,,
Total,50.13,41.41,37.78,60.43,30.19,42.26,43.37,46.60,39.38,48.45,,
Calc annual,50.13,41.41,37.78,60.43,30.19,42.26,43.37,46.60,39.38,48.45,,
Difference,0.00,-0.00,-0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,,
