LOCH NA H-OIDHCHE,,,,,,,,,,
Grid ref,NG899642,Long,-5.519627,Lat,57.618677,Elevation,1350,ft,,
Station no,5784/5/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,14,15.32,8.73
February,,,,,,,,11.9,9.53,10.46
March,,,,,,,,5.05,10.95,4.78
April,,,,,,,,8.65,10.22,10.95
May,,,,,,,,13.38,5.2,7.9
June,,,,,,,,4.8,12.65,11.56
July,,,,,,,,5,19.61,9.85
August,,,,,,,,9,14.84,8.58
September,,,,,,,,7.5,9.23,8.48
October,,,,,,,,14,18.31,5.08
November,,,,,,,,4.8,17.36,13.85
December,,,,,,,,12,23.03,13.87
Total,,,,,,,,110.08,166.25,114.09
,,,,,,,,,,
1951 to 57 Totals deleted,,,,,,,,,,
BR 1958 P Many adjusts,,,,,,,,,,
1959 P Mar Apr Ma Adj,,,,,,,,,,
1960 P Apr Au Sep Adj,,,,,,,,,,
,,,,,,,,,,
Station no,5784/5/3,,,,,,,,,
Midas,14125,,,,,,,,,
Hyd stn,712110,,,,,,,,,
