CHEADLE-HARTHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ855886,Long,-2.2195107,Lat,53.394031,Elevation,142,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,,1.01,3.62,2.18,3.15,1.04,2.15,2.46,1.13,1.85,1.63,2.94,3.93,1.82,2.28,,,,,,,
February,,,,,,,,,,1.75,0.48,0.18,1.83,2.85,3.42,0.31,1.69,2.09,1.87,0.82,3.5,1.22,1.28,,,,,,,
March,,,,,,,,,,3.02,2.49,1.36,0.95,0.59,2.37,3,3.8,2.27,1.08,1.85,0.86,1.94,1.75,,,,,,,
April,,,,,,,,,,2.46,0.61,1.87,1.67,0.61,2.09,1.69,1.54,2.36,1.76,2.29,1.9,1.86,2.2,,,,,,,
May,,,,,,,,,,3.02,2.13,2.92,2.98,1.82,1.89,0.61,0.46,1.9,2.76,3.07,1.73,1.09,3.71,,,,,,,
June,,,,,,,,,,0.74,3.53,1.99,3.42,1.55,3.22,2.81,2.61,3.76,2.52,1.77,3.48,2,1.25,,,,,,,
July,,,,,,,,,5.08,2.67,2.48,3.16,3.74,2.85,2.67,5.44,1.75,1.96,0.76,1.62,3.66,4.44,1.94,,,,,,,
August,,,,,,,,,2.94,5.6,3.28,4.84,4.2,2.82,4.29,3.45,2.61,4.44,6.34,1.4,5.08,1.6,3.68,,,,,,,
September,,,,,,,,,1.18,2.46,0.78,2.81,3.54,3.22,0.91,1.14,6.32,3.89,0.65,4.57,1.18,0.67,1.07,,,,,,,
October,,,,,,,,,1.51,2.61,2.36,4.58,3.91,2.36,3.03,2.78,3.85,1.82,3.58,2.75,3.62,3.16,3.91,,,,,,,
November,,,,,,,,,4.07,1.73,4.42,2.03,1.88,1.95,1.99,2.6,1.05,4.77,1.86,1.43,1.88,3.53,1.66,,,,,,,
December,,,,,,,,,1.97,2.16,0.29,4.3,2.51,3.32,2.87,3.11,3.52,3.3,2.86,3.8,3.91,4.57,2.44,,,,,,,
Total,,,,,,,,,,29.23,26.47,32.22,33.78,24.98,30.9,29.4,30.33,34.41,27.67,28.31,34.73,27.9,27.17,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is based on relationship to church. Altitudes match. NGR could be +/- 100m or more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
