CHEADLE-HULME,,,,,,,,,,
Grid ref,SJ868871,Long,-2.1998986,Lat,53.380582,Elevation,196,ft.,,
Station no,RR4024,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,2,4.07,2.97,1.42,3.75,1.75,1.17,
February,,,2.4,1.82,2.15,2.22,0.81,0.4,0.86,
March,,,1.45,0.87,1.79,1.9,1.72,1.54,1.45,
April,,,2.59,1.86,1.09,1.08,1.86,1.13,1.56,
May,,,1.26,1.2,1.37,1.83,4.95,1.82,0.82,
June,,,5.37,4.68,0.7,3.19,1.14,0.91,,
July,,,4.23,2.67,3.55,1.07,2.9,0.72,,
August,,,3.35,1.67,1.36,1.55,2.26,1.29,,
September,,,2.79,4.43,2.59,3.61,3.09,2.94,,
October,,,2.88,4.17,1.91,5.21,5.17,1.93,,
November,,,5.59,2.57,1.51,2.44,2.2,0.89,,
December,,,3.4,2.59,2.81,1.56,3.61,2.09,,
Total,,,37.31,32.6,23.8,27.08,33.46,17.41,,
,,,,,,,,,,
NGR is near Cheadle Hulme with the relationship to church described in record. Altitudes match. NGR could be +/- 500m. Gauge moved to Cheadle Harthill in 1888,,,,,,,,,,
