HINDLEY (PLATT BRIDGE S.W),,,,,,,,,,,,,,,,,,,,
Grid ref,SD609025,Long,-2.591156,Lat,53.51771,Elevation,91,ft,,,,,,,,,,,,
Station no,2825/4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,5.46,2.94,4.68,2.71,7.26,3.05,1.84,3.6,4.23,1.83,3.2,2.52,4.69,1.97,3.35,2.99,4.66
February,,,,1.89,3.99,5.76,0.78,2.36,1.98,4.61,2.29,1.32,1.26,4.1,2.05,0.59,2.5,5.9,0.32,2.32
March,,,,0.83,1.5,1.18,5.18,1.33,2.49,1.87,5.3,2.07,1.88,2.61,1.77,1.16,2.77,1.58,1.58,1.51
April,,,,2.86,2.53,1.15,2.99,1.22,2.55,2.75,2.25,3.92,2.63,0.79,2.01,3.08,0.87,0.96,2.32,1.99
May,,,,2.62,3.88,1.57,2.38,1.82,3.53,1.44,2.68,2.2,2.2,2.27,3,0.96,1.78,4.06,1.78,2.19
June,,,,1.68,4.7,3.66,2.02,4.07,1.11,2.33,1.5,3.14,2.05,3.07,3.56,1.67,1.89,5.6,2.33,1.61
July,,,,4.18,2.68,3.73,3.28,2.14,2.32,3.76,3.42,1.71,4.53,4.85,0.92,5.03,4.6,4.57,3.29,5.06
August,,,,3.35,2.43,6.25,0.2,5.49,4.09,6.74,5.06,3.04,3.69,5.35,1.36,10.14,4.39,5.22,0.24,5.05
September,,,,5.56,3,7.02,3.08,2.15,1.68,6.18,3.05,4.33,4.44,3.97,4.24,3.16,5.46,4.53,0.22,3.36
October,,,,4.55,6.02,1.58,0.66,3.21,4.32,2.99,0.95,4.58,2.07,6.73,2.61,2.58,4.05,3.8,3.02,3.96
November,,,,6.69,0.61,6.01,4.13,2.26,5.44,4.86,8.27,2.58,4.01,6.09,1.75,1.5,1.58,1.57,4.65,5.86
December,,,,3.88,2.91,3.56,3.26,3.81,5.24,4.26,7.23,3.95,1.36,5.29,4.96,3.04,3.35,3.77,5.9,3.82
Total,,,,43.55,37.19,46.15,30.67,37.12,37.8,43.63,45.6,37.07,31.95,48.32,30.75,37.6,35.21,44.91,28.64,41.39
,,,,,,,,,,,,,,,,,,,,
1959 Aug 0.24; Sept mistrans,,,,,,,,,,,,,,,,,,,,
