HULL NEWLAND,,,,,,,,,,,,,
Grid ref,TA086315,Long,-0.354,Lat,53.769,Elevation,11,ft,,,,,
Station no,RR1381,,,,,,,,,,,,
,,,,,,,,,,,,,
,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857
January,0.98,2.58,1.29,1.13,2.06,2.11,2.05,2.90,2.23,1.61,1.00,1.62,3.37
February,0.76,0.38,1.21,3.09,0.88,0.73,0.68,1.08,2.51,0.56,2.76,1.12,0.62
March,1.58,1.57,1.39,3.88,0.70,0.48,2.19,0.75,1.26,0.43,1.42,0.35,1.53
April,1.44,5.54,1.82,1.47,2.19,1.70,1.46,0.09,1.11,0.64,0.26,2.88,2.84
May,2.21,1.07,4.89,0.47,1.55,1.06,1.04,0.98,3.04,2.99,1.32,3.96,0.66
June,3.49,0.72,2.29,5.67,1.54,1.88,4.09,3.07,2.21,2.05,2.12,2.19,1.11
July,2.18,3.20,0.47,3.24,4.48,3.66,3.91,1.33,3.33,1.63,3.36,1.59,2.35
August,6.53,2.81,1.13,4.62,3.34,2.19,2.13,3.82,1.90,3.36,2.07,3.85,7.27
September,2.37,0.85,1.38,4.37,1.96,2.56,1.56,7.80,1.06,0.83,0.25,3.47,2.86
October,2.47,4.03,2.20,5.39,4.38,3.72,1.28,2.93,2.61,1.58,5.03,2.15,1.01
November,0.96,1.89,2.35,1.32,1.55,1.50,2.13,5.12,1.57,2.73,2.22,1.86,1.14
December,3.90,2.78,3.94,2.43,3.96,0.71,1.38,2.13,2.18,2.01,1.56,2.04,0.37
Total,28.87,27.42,24.36,37.08,28.59,22.30,23.90,32.00,25.01,20.42,23.37,27.08,25.13
,,,,,,,,,,,,,
TYRain_1840-1849_E_pt1/107,,,,,,,,,,,,,
TYRain_1850-1859_F_pt1/211,,,,,,,,,,,,,
,,,,,,,,,,,,,
# No detailed location information. Centre of former Newland village used for grid reference.,,,,,,,,,,,,,
