WHORLTON MOOR - COD BECK,,,,,,,,,,
Grid ref,SE480988,Long,-1.262,Lat,54.382,Elevation,770,ft,,
Station no,3442/9,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,1.50,3.75,1.80,,2.30,4.45
February,,,,,1.49,2.50,2.95,3.13,0.65,3.45
March,,,,1.81,2.15,0.50,1.35,,,1.00
April,,,,0.25,1.40,0.80,0.25,1.12,,1.40
May,,,,3.28,1.93,0.20,1.98,3.45,,0.97
June,,,,3.01,2.50,3.40,3.50,3.30,2.90,0.40
July,,,,1.55,1.25,4.44,4.98,2.58,1.45,5.94
August,,,,7.85,0.93,7.60,5.40,,0.50,3.00
September,,,,1.84,1.63,1.85,3.35,2.77,0.90,2.70
October,,,,4.81,1.85,1.68,2.05,2.00,1.85,6.80
November,,,,5.40,2.81,1.40,2.20,1.00,,4.00
December,,,,2.31,2.50,2.67,2.35,3.20,5.00,3.12
Total,,,,,21.94,30.79,32.16,,,37.23
,,,,,,,,,,
TYRain_1951-1960_20_pt1/275,,,,,,,,,,
,,,,,,,,,,
"# The readings for January, March and August 1958 are estimates and have been omitted.",,,,,,,,,,
"# The readings for March, April, May and November 1959 are estimates and have been omitted.",,,,,,,,,,
#,,,,,,,,,,
# The station is still active according to MIDAS. (MIDAS src_id = 2287),,,,,,,,,,
