GILLINGHAM,,,,,,,,,,,
Grid ref,TQ785692,Long,0.56433848,Lat,51.393757,Elevation,9,ft,,,
Station no,RR8328,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,2.6,,,,,,,,
February,,,1.63,,,,,,,,
March,,,2.19,,,,,,,,
April,,,2.51,,,,,,,,
May,,,0.71,,,,,,,,
June,,,0.89,,,,,,,,
July,,,2.5,,,,,,,,
August,,,2.32,,,,,,,,
September,,,2.87,,,,,,,,
October,,,1.97,,,,,,,,
November,,,1.44,,,,,,,,
December,,,2.61,,,,,,,,
Total,,,24.24,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Note: Only medium confidence on accuracy of NGR,,,,,,,,,,,
