GILLINGHAM,,,,,,,,,,
Grid ref,TQ785692,Long,0.564338,Lat,51.393757,Elevation,10,ft,,
Station no,372/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,2.05,1.9
February,,,,,,,,,0.03,1.61
March,,,,,,,,,1.76,1.41
April,,,,,,,,,2.16,0.45
May,,,,,,,,,0.78,2.73
June,,,,,,,,,0.69,1.34
July,,,,,,,,,1.48,2.88
August,,,,,,,,,1.91,3.24
September,,,,,,,,,0.15,4.35
October,,,,,,,,,2.22,4.91
November,,,,,,,,,3.16,3.62
December,,,,,,,,,3.8,2.57
Total,,,,,,,,,20.19,31.01
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1960 Jan IDR,,,,,,,,,,
