BURY-ST-EDMUNDS-BOTANIC-GARDENS,,,,,,,,,,
Grid ref,TL856642,Long,0.71714744,Lat,52.24468,Elevation,120,ft,,
Station no,RR6794,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,2.38,1,2.78,,,,
February,,,,0.56,1.31,2.1,,,,
March,,,,0.9,2.6,1.99,,,,
April,,,,0.88,0.65,0.48,,,,
May,,,,1.13,2.23,1.91,,,,
June,,,,2.81,1.09,1.54,,,,
July,,,,1.13,0.75,6.47,,,,
August,,,,1.99,0.65,4.46,,,,
September,,,,2.89,3.12,0.07,,,,
October,,,,3.06,1.46,7.89,,,,
November,,,,2.75,3.15,2.1,,,,
December,,,,1.25,0.55,1.06,,,,
Total,,,,21.73,18.56,32.85,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,
