"MALTON THE LEAL HOUSE",,,,,,,,,,,,
Grid ref,SE791708,Long,-0.791095,Lat,54.126980,,,,,,,
Station no,RR4301,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,0.83,,
February,,,,,,,,,,1.34,,
March,,,,,,,,,,4.36,,
April,,,,,,,,,1.88,2.35,,
May,,,,,,,,,1.39,1.46,,
June,,,,,,,,,0.76,1.44,,
July,,,,,,,,,2.36,2.58,,
August,,,,,,,,,2.13,3.58,,
September,,,,,,,,,2.02,1.35,,
October,,,,,,,,,1.43,2.62,,
November,,,,,,,,,1.58,-999.00,,
December,,,,,,,,,1.76,5.85,,
Total,,,,,,,,,,28.69,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.31,27.76,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.93,,
