CLUNY,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 689 127,Long,-2.516118,Lat,57.204184,Elevation,280,ft,,,,,,,,,,,,
Station no,RR1214,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,1,3.32,1.63,0.88,2.6,0.8,2.7,0.96,2.38,0.62,1.12,,1.91,4.44,,,,,
February,,2.97,5.8,1.76,1.25,0.91,4.71,3.12,0.78,3.19,2.66,4.65,,4.48,1.66,,,,,
March,,0.34,2.32,2.2,0.79,1.41,2.45,1.48,1.81,3.18,1.06,1.19,,3.56,4.25,,,,,
April,,4.06,2.29,0.55,0.63,1.02,2.74,2.7,0.7,4.68,2.21,1.18,,1.8,1.14,,,,,
May,,0.94,4.38,3.64,1.18,1.59,0.87,1.94,1.28,2.54,0.92,2.84,,1.2,1.35,,,,,
June,,1.44,4.53,1.29,1.14,2.51,1.33,4.15,2.81,3.39,3.97,2.06,,2.03,1.1,,,,,
July,,3.6,3,4.16,2.87,3.2,3.48,3.7,0.76,3.53,4.27,2.9,,4.61,2.7,,,,,
August,,1.83,3.75,3.05,8.17,2.01,0.92,6.69,5.31,4.92,0.55,3.39,,3.45,1.41,,,,,
September,,3.16,5.31,3.36,1.74,3.1,2.62,1.9,3.21,2.05,2.76,2.78,,4.26,1.87,,,,,
October,,4.3,4.57,3.17,2.61,6.16,2.58,1.91,3.39,0.74,2.44,3.7,,1.58,3.05,,,,,
November,,0.98,7.06,3.42,2.69,4.26,4.88,3.92,3.29,2.4,2.38,2.89,,0.96,2.33,,,,,
December,,1.2,4.74,1.45,0.95,3.06,12.2,1.99,2,0.34,4.9,0.93,,1.52,1.08,,,,,
Total,,25.82,51.07,29.68,24.9,31.83,39.58,36.2,26.3,33.34,28.74,29.63,,31.36,26.38,,,,,
,,,,,,,,,,,,,,,,,,,,
1.2 miles between Castle and Sauchen,,,,,,,,,,,,,,,,,,,,
