SAUCHEN CLUNY,,,,,,,,,,
Grid ref,NJ 699 110,Long,-2.498274,Lat,57.189041,Elevation,350,ft,,
Station no,RR1214,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,1.79,,,
February,,,,,,,2.85,,,
March,,,,,,,4.25,,,
April,,,,,,,1.9,,,
May,,,,,,,1.43,,,
June,,,,,,,1.71,,,
July,,,,,,,2.44,,,
August,,,,,,,3.49,,,
September,,,,,,,2.61,,,
October,,,,,,,2.94,,,
November,,,,,,,2.28,,,
December,,,,,,,2.91,,,
Total,,,,,,,30.6,,,
,,,,,,,,,,
1.2 miles between Castle and Sauchen,,,,,,,,,,
