DERWENT-DALE-SHIRE-OWLERS-NO-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK171911,Long,-1.7441865,Lat,53.416431,Elevation,825,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,2695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,3.08,3.76,3.79,4.95,6.03,7.12,5.05,5.03,3.53,4.77,5.22,4.01,9.1,2.34,5.69,6.23,,,,,,,,,
February,,,,,,5.98,7.61,0.81,4.62,3.09,4.29,0.45,5.78,7.46,2.66,6.68,3.43,1.76,5.65,0.71,1.48,6.23,,,,,,,,,
March,,,,,,1.96,6.72,2.93,1.78,5.65,3.28,3.26,3.22,2.62,1.37,2.42,2.22,5.07,3.37,0.59,4.26,0.43,,,,,,,,,
April,,,,,,1.75,3.9,2.21,1.53,2.74,6.01,2.57,5.12,3.14,2.59,3.68,2.3,5.36,1.79,1.63,4.68,5.63,,,,,,,,,
May,,,,,,1.36,2,1.72,3.69,1.9,5.57,2.08,1.11,5.32,5.65,4.26,3.81,1.53,1.57,3.02,2.69,2.49,,,,,,,,,
June,,,,,,1.15,3.12,2.11,2.55,1.58,4.26,0.29,2.47,1.11,2.18,0.08,3.1,5.47,4.8,1.55,3.98,4.83,,,,,,,,,
July,,,,,,5.3,2.52,1.37,4,3.53,6.33,1.32,4.77,3.81,4.46,1.65,2.75,3.29,1.47,3.77,7.27,4.36,,,,,,,,,
August,,,,,,2.94,1.97,7.45,2.07,3.4,1.98,6.06,7.24,4.77,5.35,4.97,4.08,5.24,5.32,3.88,4.42,6.65,,,,,,,,,
September,,,,,,0.8,2.09,1.71,9.27,2.71,2.05,1.03,4.41,4.65,4.62,3.99,2.85,6.23,0.58,1.86,5.74,6.23,,,,,,,,,
October,,,,,,2.73,5.63,6.13,2.84,4.17,2.66,2.63,1.72,3.88,6.63,5.07,4.93,4.52,5.36,4.58,5.73,1.77,,,,,,,,,
November,,,,,,4.09,5.06,4.27,1.81,3.84,1.78,2.67,3.35,7.87,3.22,4.11,4.69,5.55,7.44,7.76,4.79,4.68,,,,,,,,,
December,,,,,,8.06,3.87,2.98,7.74,8.03,4.71,6.73,5.21,4.91,4.14,5.29,3.21,2.38,3.62,8.45,3.62,2.11,,,,,,,,,
Total,,,,,,,47.57,37.45,45.69,45.59,48.95,36.21,49.45,54.57,46.4,46.97,42.59,50.41,50.07,40.14,54.35,51.64,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Shire Owlers Farm. Altitudes match. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge 69A is noted as a check gauge and is assumed to be in the same location as the other gauge; they have the same altitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
