WALLINGFORD-BLEWBURTON-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SU552863,Long,-1.2048983,Lat,51.572874,Elevation,240,ft.,,,,,,,,,,,,
Station no,RR2313,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,3.79,1.39,3.86,0.41,,,,,,,,,
February,,,,,,,,1.8,1.36,4.52,3.26,,,,,,,,,
March,,,,,,,,2.07,0.57,0.68,1.91,,,,,,,,,
April,,,,,,,,2.39,2.31,2.63,2.56,,,,,,,,,
May,,,,,,,,1.58,2.99,3.42,0.4,,,,,,,,,
June,,,,,,,,1.53,3,5.09,2.99,,,,,,,,,
July,,,,,,,,2.57,1.32,3.59,7.3,,,,,,,,,
August,,,,,,,,2.74,6.44,7.28,0.5,,,,,,,,,
September,,,,,,,,1.48,1.08,3.47,4.27,,,,,,,,,
October,,,,,,,,1.62,3.44,1.34,5.48,,,,,,,,,
November,,,,,,,,3.35,2.48,0.49,2.32,,,,,,,,,
December,,,,,,,,3.15,1.81,1.45,3.57,,,,,,,,,
Total,,,,,,,,28.07,28.19,37.82,34.97,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
NGR is Blewburton House. Altitudes match,,,,,,,,,,,,,,,,,,,,
The 1880s record states the gauge moved mid year but no information on when or how far.,,,,,,,,,,,,,,,,,,,,
