BARRY-PORTH-Y-CASTELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST100670,Long,-3.2949926,Lat,51.394872,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,4050/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,1.64,4.37,3.31,3.88,2.04,2.31,0.88,5.74,4.42,4.4,5.52,3.86,4.19,4.19,6.02,,,,,,,
February,,,,,,,,,,1.18,0.93,3.23,0.04,4.31,0.56,2.71,1.53,5.91,1.5,2.29,2.79,3.52,0.34,1.42,,,,,,,
March,,,,,,,,,,0.67,1.95,0.98,1.85,2.78,1.95,1.03,3.24,3.69,0.44,0.88,2.68,2.5,2.27,1.21,,,,,,,
April,,,,,,,,,,0.63,2.41,2.67,3.23,1.57,2.7,4.64,3.16,3.94,0.25,3.35,2.75,1.64,1.02,1.11,,,,,,,
May,,,,,,,,,,3.04,1.71,5,3.71,1.95,1.41,1.68,1.77,2.58,2.26,0.99,1.64,2.07,3.76,2.97,,,,,,,
June,,,,,,,,,,2.22,0.75,3.76,0.79,2.18,1.63,2.73,6.06,0.64,1.52,2.13,0.95,1.81,0.17,2.24,,,,,,,
July,,,,,,,,,,2.29,2.69,4.32,3.83,2.7,0.84,0.55,7.46,2.94,3.3,5.34,4.58,2.94,3.09,2.44,,,,,,,
August,,,,,,,,,,3.23,5.32,4.36,1.31,1.56,4.16,2.84,0.85,0.83,4.18,3.69,0.31,6.19,5.13,3.89,,,,,,,
September,,,,,,,,,0.71,0.52,3.93,2.35,4.79,1.94,3.75,8.63,3.79,2.24,2.09,0.76,2,0.74,2.7,5.47,,,,,,,
October,,,,,,,,,5.86,6.05,4.09,1.24,7.45,4.06,3.31,6.21,2.33,3.5,8.03,3.64,5.2,2.92,4.79,2.5,,,,,,,
November,,,,,,,,,4.11,9.31,4.3,4.26,1.79,0.93,1.96,5.53,4.3,2.18,4.91,8.23,8.02,1.99,1.06,2.62,,,,,,,
December,,,,,,,,,4.63,6.69,4.53,1.79,1.71,1.97,8.85,4.17,3.28,1.97,4.38,3.15,2.98,3.27,4.06,2.81,,,,,,,
Total,,,,,,,,,,37.47,36.98,37.27,34.38,27.99,33.43,41.6,43.51,34.84,37.26,39.97,37.76,33.78,32.58,34.7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 Sep IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
