TORQUAY-BABBACOMBE-KIRKHAM-(2ND-GAUGE),,,,,,,,,,
Grid ref,SX924654,Long,-3.517,Lat,50.47918,Elevation,293,ft,,
Station no,RR7443,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,7.88,1.94,
February,,,,,,,,1.62,2.39,
March,,,,,,,,2.69,2.14,
April,,,,,,,,5.76,5.14,
May,,,,,,,,3.25,4.2,
June,,,,,,,,1.24,2.85,
July,,,,,,,0.1,2.43,1.58,
August,,,,,,,3.3,3.98,4.91,
September,,,,,,,6.41,2.44,1.83,
October,,,,,,,3.96,2.51,3.63,
November,,,,,,,5.89,7.54,3.42,
December,,,,,,,9.92,1.81,3.31,
Total,,,,,,,,43.15,37.34,
,,,,,,,,,,
Another 5in gauge Assumed to be near other gauge,,,,,,,,,,
