TORQUAY-BABBACOMBE-KIRKHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX924654,Long,-3.517,Lat,50.47918,Elevation,294,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,7.89,1.85,6.35,1.17,2.44,1.73,3.86,4.87,2.71,5.87,3.33,1.13,1.07,5.63,2.96,1.43,3.4,,,,,,
February,,,,,,,,1.61,2.32,5.49,4.63,4.66,2.3,5.68,5.1,4.25,1.48,0.73,0.46,1.38,1.45,0.03,2.27,4.74,,,,,,
March,,,,,,,,2.67,2.13,0.56,3.18,4.56,1.16,1.37,3.18,0.95,4.25,1.7,4.68,4.5,1.58,3.93,1.15,0.18,,,,,,
April,,,,,,,,5.8,5.03,4.16,1.87,0.79,6.49,0.83,2.19,3.54,2.39,1.14,1.65,1.56,3.06,1.61,0.85,,,,,,,
May,,,,,,,,3.28,4.1,2.19,0.84,0.66,1.52,2.3,1.53,3.67,4.23,1.76,2.53,2.13,1.9,3.52,0.57,,,,,,,
June,,,,,,,,1.24,2.76,7.34,2.29,3.16,3.56,3.17,1.48,1.02,0.91,0.11,2.51,0.45,2.3,4.01,1.72,,,,,,,
July,,,,,,,0.09,2.43,1.51,3.55,2.56,1.46,3.33,4.3,2.72,0.23,2.97,1.37,7.21,3.06,2.54,3.25,1.4,,,,,,,
August,,,,,,,3.27,4,4.72,5.49,0.31,4.79,2.09,0.75,0.77,2.76,1.76,1.5,2.97,2.12,3.09,6.04,3.53,,,,,,,
September,,,,,,,6.34,2.43,1.73,3.43,3.52,2.09,4.4,4.81,1.72,3.28,2.07,2.53,0.63,1.22,0.79,1.06,2.12,,,,,,,
October,,,,,,,3.93,2.46,3.46,0.8,8.74,4.18,6.79,3.03,0.9,5.58,5.55,3.31,1.67,4.81,0.7,10.37,4.71,,,,,,,
November,,,,,,,5.87,7.54,3.26,0.22,3.85,5.83,3.98,4.54,1.55,4.34,2.85,4.01,8.52,1.76,2.98,4.89,3.14,,,,,,,
December,,,,,,,9.94,1.8,3.21,1.44,4.56,3.49,3.88,0.65,3.75,2.07,7.2,3.07,3.09,2.34,4.55,5.21,1.27,,,,,,,
Total,,,,,,,,43.15,36.08,41.02,37.52,38.11,41.23,35.29,29.76,34.4,41.53,24.56,37.05,26.4,30.57,46.88,24.16,,,,,,,
