"ARDRISHAIG (CANAL OFFICE)",,,,,,,,,,,,
Grid ref,NR852853,Long,-5.447440,Lat,56.012354,,,,,,,
Station no,5423,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.23,8.32,3.86,7.28,4.66,6.34,9.54,8.07,2.01,4.33,,
February,4.31,3.83,4.00,4.88,4.80,2.91,4.23,4.54,2.03,5.82,,
March,4.35,4.49,2.91,5.90,1.83,3.58,7.16,1.92,5.08,2.70,,
April,4.34,2.74,4.10,2.72,6.00,3.05,2.12,2.79,4.64,6.22,,
May,1.44,2.08,3.67,4.68,4.44,4.13,2.21,3.74,1.69,2.85,,
June,2.95,4.55,1.91,6.36,4.31,3.50,3.68,3.22,4.83,3.06,,
July,5.12,6.04,6.80,6.45,1.78,5.92,5.87,5.26,8.15,5.63,,
August,5.37,6.45,5.52,5.75,2.03,6.83,6.66,7.79,1.90,5.19,,
September,4.88,5.43,10.90,11.35,8.51,6.69,6.06,6.11,2.51,3.81,,
October,2.82,7.45,5.75,11.19,6.53,5.25,8.47,7.41,8.93,3.59,,
November,9.58,3.31,12.47,11.42,3.17,4.57,3.75,3.24,6.88,8.87,,
December,13.77,8.35,7.49,11.43,10.01,9.04,6.79,7.43,10.24,9.72,,
Total,66.16,63.04,69.38,89.41,58.07,61.81,66.54,61.52,58.89,61.79,,
Calc annual,66.16,63.04,69.38,89.41,58.07,61.81,66.54,61.52,58.89,61.79,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
