"SKEGNESS (MARINE GARDENS)",,,,,,,,,,,,
Grid ref,TF569631,Long,0.344299,Lat,53.141948,,,,,,,
Station no,2561,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.83,1.57,0.64,1.49,1.93,3.99,1.80,1.99,3.81,3.94,,
February,3.30,0.70,1.80,2.33,2.21,1.56,2.81,3.48,0.17,2.26,,
March,3.03,2.55,0.81,1.87,2.24,0.84,1.51,1.79,1.68,1.10,,
April,2.66,1.01,2.53,0.44,1.31,1.15,0.35,0.90,1.61,0.80,,
May,3.05,1.46,2.23,1.80,3.30,0.53,2.00,2.54,0.29,0.49,,
June,1.08,0.78,3.38,2.62,3.82,2.91,1.43,2.56,0.78,0.56,,
July,0.71,0.41,1.92,1.54,0.52,2.62,2.55,4.82,2.03,3.91,,
August,4.06,1.67,2.20,3.72,0.98,3.14,2.56,1.75,2.30,4.53,,
September,1.88,2.66,1.22,2.00,0.77,1.22,4.21,2.63,0.13,2.86,,
October,1.20,2.06,2.50,2.29,1.49,1.15,1.47,1.41,1.61,5.17,,
November,3.50,2.55,1.17,3.02,1.19,1.01,1.97,0.85,2.07,3.62,,
December,0.88,1.54,0.78,1.58,1.54,1.43,2.30,2.91,4.59,4.25,,
Total,28.18,18.96,21.18,24.70,21.30,21.55,24.96,27.63,21.07,33.49,,
Calc annual,28.18,18.96,21.18,24.70,21.30,21.55,24.96,27.63,21.07,33.49,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
