SKEGNESS - CENTRAL,,,,,,,,,,,,,,
Grid ref,TF565632,Long,0.338,Lat,53.143,Elevation,10,ft,,,,,,
Station no,2561,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903
January,,0.68,1.60,,,,1.03,1.66,1.08,2.39,,0.88,,1.70
February,,0.13,1.59,,,,0.49,3.46,1.08,1.14,,1.84,,0.58
March,,0.23,0.98,,,,3.02,3.47,1.98,1.22,,1.37,,3.10
April,,0.32,1.59,,,,0.83,0.58,1.66,2.12,,1.61,,1.71
May,,2.45,2.06,,,,0.94,0.15,1.60,2.50,,1.73,,2.86
June,,1.39,1.94,,,,1.69,1.52,2.52,1.62,,2.26,,1.59
July,,1.81,1.22,,,,2.54,2.47,1.56,0.30,,0.03,,3.51
August,,3.74,1.83,,,,1.89,2.86,2.79,0.44,,2.18,,5.66
September,,0.09,1.41,,,,4.98,3.72,0.14,2.25,,1.19,,4.03
October,,3.23,7.58,,,,4.18,0.97,2.57,3.24,,2.86,,5.61
November,2.34,4.46,2.07,,,,1.65,1.71,1.78,1.32,,2.86,,2.50
December,0.27,4.84,0.77,,,,3.86,1.96,2.52,2.13,,2.96,,1.39
Total,,23.37,24.64,,,,27.10,24.53,21.28,20.67,,21.77,,34.24
,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/181,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/161,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"# Figures on the sheet for 1900 and 1902 are calculated from Boston and Spilsby sites, and have been omitted.",,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
"# The exact gauge location is not clear. Somewhere central, but inland, based on the church directions and subsequent move directions.",,,,,,,,,,,,,,
# The indicative grid reference given is for Lumley Road.,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
# The gauge arrived from Roman Bank in October 1890 and moved to Marine Gardens in 1904.,,,,,,,,,,,,,,
