SUTTON SEWAGE WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ249655,Long,-0.206906,Lat,51.374826,Elevation,99,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,1.88,0.93,2.65,3.44,0.91,0.55,2.4,3.22,1.15,3.79,0.88,1.54,0.76,2.22,1.14,3.07,3.79,0.64,5.13,1.24,1.49,4.14,3.84,2.54,2.1,2.85,1.77,2.78,1.82,2.94,2.15,3.81,0.84,2.79,1.17,2.03,1.3,1.82,0.88,3.96,4.54,1.98,4.21,2.19,2.36,2.46,4.99,1.33,1.49,1.43,1.36,2.95,0.89,0.83,2.79,1.84,0.95,1.23,2.62,3.51,1.57,1.91,1.97,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,2.01,1.27,2.17,4.1,1.24,0.75,1.27,3.05,0.85,1.72,1.39,1.04,0.65,3.59,1.05,1.93,0.95,3.81,4.88,4.95,0.85,0.91,2.54,0.85,0.26,1.87,4.29,0.75,4.17,2.78,4.42,1.69,0.31,0.62,1.45,0.19,2.89,0.33,2.58,1.65,3.97,0.52,1.27,1.5,2.03,0.48,1.75,0.74,1.15,2.39,1.44,1.38,0.96,4.13,6.82,1,1.1,2.14,1.44,0.59,2.73,1.94,0.05,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,3.18,1.14,0.48,0.95,2.22,1.71,2,1.51,3.61,1.14,0.67,2.8,3.32,1.21,1.98,3.22,3.48,4.95,0.78,5.31,1.45,0.99,3.16,1.75,1.14,1.99,2.55,0.61,0.77,0.3,3.02,2.2,0.06,1.6,0.18,1.3,2.18,2.55,0.19,1.02,3.31,0.5,1.03,3.08,3.23,1.92,0.29,0.05,1.08,1.19,4.91,0.8,0.83,0.75,3.23,2.53,0.39,1.86,1.16,0.76,0.76,1.38,2.12,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,1.57,1.14,2.24,0.64,1.84,0.76,1.77,1.26,1.43,0.52,3.54,2.5,1.61,1.6,1.94,0.09,2.95,1.01,1.54,1.49,2.25,4.47,2.78,2.92,1.14,2.93,1.96,4,2.07,4.75,2.02,1.74,0.95,1.35,3.93,2.27,0.56,2.72,2.55,1.52,2.27,0.1,2.18,1.68,1.45,1.04,0.82,1.39,1.12,2.47,1.8,1.09,1.88,2.8,2.45,1.18,2.34,0.34,0.24,1.15,0.3,1.09,1.87,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,1.06,2.15,1.22,1.07,0.57,2.19,2.32,2.79,0.93,1.2,1.86,1.86,1.4,1.82,2.64,1.38,1.55,1.52,3.91,2.68,2.01,2.05,0.09,0.35,2.01,0.8,2.87,2.83,1.56,1.34,1.23,2.73,1.27,4.03,2.63,4.08,3.49,0.67,1.18,0.44,2.7,1.53,1.65,1.11,1.63,3.3,2.27,0.53,2.82,3.69,1.44,1.79,2.27,1.64,2.04,2.45,1.51,3.07,3.67,0.26,1.29,2.55,0.87,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,2.81,1.86,0.74,2.78,2.13,4.09,6.79,0.81,4.59,2.52,1.72,1.92,4.02,2.61,2.07,4.02,0.28,1.68,0.73,2.64,2.12,0.98,1.41,2.1,0.17,1.32,0.31,2.74,0.14,4.46,3.2,2.63,0.91,0.7,1.47,0.97,2.08,0.74,4.93,2.61,1.91,0.52,1.16,0.55,3.05,1.51,1.06,2.1,1.43,1.93,2.39,1.88,0.66,1.37,1.1,1.88,1.16,3.19,1.97,2.05,1.11,4.5,0.7,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,1.7,0.86,0.33,2.01,2.19,1.09,4.45,1.56,1.43,0.51,0.87,2.74,2.69,2.29,0.24,1.65,2.28,1.95,4.08,1.19,5.85,7.06,2.4,4.53,0.1,3.64,3.25,4.2,3.72,1.98,3.03,2.59,1.26,1.84,2.95,2.54,1.49,2.21,1.18,3,0.76,1.08,2.11,2.38,3.35,2.1,1.41,2.55,3.26,1.23,1.53,0.97,1.03,3.49,2.18,0.75,3.51,2.69,0.19,5.91,2.43,1.95,1.36,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,2.26,0.93,0.65,2.55,1.97,3.4,4.35,1.59,2.69,0.68,2.39,3.37,2.13,2.55,0.76,7.08,2.3,1.41,2.15,4.43,5.01,1.18,2.49,2.05,0.45,2.6,1.94,3.38,2.45,1.43,4.51,2.51,2.13,2.8,5.21,0.98,0.57,2,2.68,0.93,3.61,2.21,3.83,0.06,4,1.73,1.51,2.22,1.6,4.27,0.16,3.35,1.1,1.81,2.58,2.09,1.25,2.27,1.2,3.63,3.19,2.96,1,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,3.09,0.32,3.07,0.65,1.44,1.6,3.06,1.17,1.55,1.63,0.45,1.69,2.99,1.26,1.02,3.45,2.15,1.09,2.39,1.97,3,6.51,1.4,2.03,1.54,2.03,1.45,3.81,2.33,1.6,5.33,0.95,0.15,2.98,2.21,1.98,2.54,1.17,2.75,1.96,1.91,2.15,1.64,1.22,0.35,1.2,1.49,2.45,1.87,3.23,1.29,1.11,0.54,2.35,2.78,3.87,2.32,1.99,1.54,1.92,2.51,3.96,0.07,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,0.54,3.14,3.06,1.91,2.5,1.65,5.21,1.94,0.84,3.19,3.86,2.62,4.25,3.02,2.9,3.28,4.19,1.4,3.03,4.18,3.32,1.57,0.8,0.87,0.77,1.13,6.43,4.07,3.23,3.26,1.03,5.23,2.8,0.91,0.46,5.18,1.78,1.25,2.97,2.22,2.98,2.17,5.4,2.27,0.79,3.73,2.71,3.17,2.32,0.77,0.26,2.12,5.66,0.41,0.92,2.64,3.24,2.21,3.01,1.2,1.75,2.87,2.2,5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
