DUNS (OXENDEAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT775562,Long,-2.3604582,Lat,55.798561,Elevation,600,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,2.27,4.28,2.27,2.08,2.49,2.14,1.29,1.71,1.73,4.55,3.9,2.96,5.83,1.97,3.94,4.54,3.11,1.38,5.08,1.87,2.98,6.77,,
February,,,,,,,,0.89,2.39,1.57,1.73,2.05,0.83,2.66,0.2,1.66,3.74,4.13,0.92,1.81,1.81,6.81,2.47,1.35,2.48,2.17,0.99,2.63,1.81,,
March,,,,,,,,2.43,3.89,0.24,1.55,1.39,3.5,1.18,4.26,2.05,2.81,5.32,0.62,2.88,3.22,2.93,1.82,1.17,1,0.62,2.3,5.18,0.54,,
April,,,,,,,,1.54,1.46,1.53,2.28,2.85,2.56,1.83,4.74,3.12,1.63,1.61,0.25,1.28,1.88,1.73,1.06,1.07,2.04,1.51,0.43,3.36,1.7,,
May,,,,,,,,2.46,1.06,1.39,0.91,3.16,2.44,0.94,1.8,1.05,1.84,3.47,2.79,1.1,1.34,2.24,2.9,4.38,2.86,4.51,1.5,3.03,1.85,,
June,,,,,,,,3.43,5.17,2.14,1.53,4.53,1.67,0.97,2.61,3.72,1.74,1.54,4.21,2.06,0.52,1.2,0.96,2.75,3.35,2.86,1.9,2.57,4.65,,
July,,,,,,,,3.54,1.85,3.94,3.67,4,2.33,3.6,1.65,1.23,3.41,2.55,3.29,3.07,7.46,2.15,2.9,2.47,3.03,2.59,2.27,2.49,2.04,,
August,,,,,,,,6.81,4.68,4.79,4.63,4.47,0.77,1.61,3.71,3.42,1.55,3.08,1.26,2.64,0.88,3.74,1.82,4.18,3.11,4.64,5.69,0.12,10.58,,
September,,,,,,,,6.15,1.96,0.22,5.03,1.98,3.74,1.34,2.35,2.98,3.22,1.6,3.09,1.75,1.86,0.7,2.83,2.06,4.85,3.1,3.23,1.35,2.88,,
October,,,,,,,,2.57,3.85,3.18,3.19,1.73,6.93,3.91,4.23,4.62,1.78,3.16,4.69,5.07,4.12,4.65,3.14,2.05,2.92,4.89,0.72,1.17,3,,
November,,,,,,,,3.66,3.89,3.35,4.33,4.24,1.11,2.8,3.31,4.01,4.07,1.08,4.38,3.36,4.91,3.58,0.64,2.57,6.19,0.84,5.94,2.9,1.83,,
December,,,,,,,,2.8,2.76,3.71,2.69,0.93,1.94,1.52,4.22,1.95,2.34,6.58,3.24,1.26,2.54,0.75,1.76,1.35,2.43,2.14,2.23,1.62,2.38,,
Total,,,,,,,,38.55,37.24,28.33,33.62,33.82,29.96,23.65,34.79,31.54,32.68,38.02,31.7,32.11,32.51,34.42,26.84,28.51,35.64,34.95,29.07,29.4,40.03,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"scr_id 16061, station name DUNS:OXENDEAN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
