"NEWBURY GREENHAM COMMON",,,,,,,,,,,,
Grid ref,SU507636,Long,-1.273074,Lat,51.369205,,,,,,,
Station no,794,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.90,1.28,1.33,3.61,4.40,0.53,5.09,0.59,1.54,0.77,,
February,4.50,1.39,1.25,1.78,3.35,0.69,2.50,1.49,1.21,0.57,,
March,1.10,2.23,1.96,4.29,1.50,5.70,1.53,1.05,3.47,3.35,,
April,1.00,3.03,1.46,2.19,1.20,1.82,0.72,3.39,3.80,1.70,,
May,1.45,0.97,2.01,3.85,3.45,0.81,1.30,1.56,1.83,1.80,,
June,3.50,0.85,3.49,5.37,0.95,4.07,2.76,2.91,0.95,3.34,,
July,1.30,3.38,0.96,4.46,2.35,0.73,0.92,2.14,2.06,2.40,,
August,3.00,1.76,4.26,4.11,3.00,3.81,0.85,1.33,3.71,2.73,,
September,0.65,2.17,0.96,2.41,1.70,1.70,0.77,0.87,2.18,2.71,,
October,2.20,1.72,2.13,8.54,1.45,2.04,5.15,6.24,0.99,6.20,,
November,2.40,0.70,2.53,1.84,2.10,3.54,4.29,2.46,0.95,0.71,,
December,4.30,4.55,1.89,2.34,2.55,0.96,2.10,4.64,2.54,4.44,,
Total,28.30,24.03,24.23,44.79,28.00,26.40,27.98,28.67,25.23,30.72,,
Calc annual,28.30,24.03,24.23,44.79,28.00,26.40,27.98,28.67,25.23,30.72,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
