NEWBURY-GREENHAM-COMMON-OBSERVER-BOWMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU507638,Long,-1.2730453,Lat,51.371003,Elevation,327,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,0.53,5.09,0.59,1.54,0.77,2.49,1.32,4.48,4.32,0.87,4.1,1.71,1.26,3.33,3.99,3.71,3.09,3.68,1.77,3.45,2.64,4.89,2.76,4.95,1.27,4.25,1.98,3.28,2.68,2.37,0.53,,,,,
February,,,,,,0.69,2.5,1.49,1.21,0.57,4.44,1.88,2.59,1.43,4.52,5.62,6.04,1.04,1.47,2.97,0.7,0.23,3.16,4.68,0.55,4.63,2,4.28,2.11,0.77,0.68,2.01,0.16,4.32,0.1,3.2,,,,,
March,,,,,,5.7,1.53,1.05,3.47,3.35,1.13,1.87,4.58,3.55,5.33,1.11,4.19,2.24,0.92,5.74,1.84,1.33,2.61,2.5,1.12,0.5,0.67,3.66,2.96,0.12,0.99,0.16,2.02,3.6,2.6,0.64,,,,,
April,,,,,,1.82,0.72,3.39,3.8,1.7,2.42,1.13,0,4.02,1.09,0.98,0.96,1.94,3.05,2.69,3.95,1.18,3.36,3.03,3.34,2.32,3.13,2.14,2.01,0.93,2.52,2.63,2.68,1.25,2.03,3.63,,,,,
May,,,,,,0.81,1.3,1.56,1.83,1.8,2.03,1.76,1.58,2,1.68,3.8,1.53,2.3,2.04,0.48,1.69,1.34,0.6,1.78,4.82,4.17,1.9,1.57,1.33,1.89,1.96,2.61,6.21,1.65,0.72,1.51,,,,,
June,,,,,,4.07,2.76,2.91,0.95,3.34,3.98,1.91,3.46,0.47,2.78,1.53,2.49,1.92,0.66,0.9,2.48,0.28,1.41,0.37,3.03,0,2.62,3.19,2.55,1.43,0.56,1.81,1.59,3.76,1.32,4.49,,,,,
July,,,,,,0.73,0.92,2.14,2.06,2.4,1.57,0.07,2.04,1.46,2.82,4.69,0.88,4.83,6.02,1.55,6.61,0.25,5.08,1.52,4.79,3,2.36,3.31,1.78,1.23,2.34,4.1,1.87,1.47,1.27,1.06,,,,,
August,,,,,,3.81,0.85,1.33,3.71,2.73,2.44,1.2,7.05,1.02,2.34,2.41,4.09,6.05,1.7,3.21,1.45,1.81,3.72,2.36,2.36,2.31,1.03,3.54,2.15,0.68,2.92,2.95,0.92,0.33,2.66,3.27,,,,,
September,,,,,,1.7,0.77,0.87,2.18,2.71,0.27,1.31,2.43,2.2,0.96,3.17,1.7,2.17,5.87,3.02,1.65,2.25,1.48,1.98,4.63,2.96,0.77,6.17,1.66,0.51,2.79,2.17,3.73,3.92,1.82,4.69,,,,,
October,,,,,,2.04,5.15,6.24,0.99,6.2,4.84,2.32,3.79,5.18,2.68,4.05,5.03,5.36,2.01,1.44,3.01,1.55,1.02,5.59,4.07,4.35,2.54,2.55,5.3,3.26,1.58,0.49,4.54,2.04,1.3,3.73,,,,,
November,,,,,,3.54,4.29,2.46,0.95,0.71,3.78,4.07,2.17,3.52,3.78,2.57,5.12,0.68,2.89,1.88,1.71,1.89,2.31,2.24,3.16,2.18,7.13,3.24,3.24,8.22,4.64,3.37,1.82,0.7,1.53,5.16,,,,,
December,,,,,,0.96,2.1,4.64,2.54,4.44,5.56,7.91,4.32,1.61,8.02,7.05,3.68,1.2,2.66,5.74,3.02,1.81,3.67,3.44,5.66,3.22,0.54,3.85,2.78,7.88,3.46,0.95,1.14,0.4,7.96,3.54,,,,,
Total,,,,,,26.4,27.98,28.67,25.23,30.72,34.95,26.75,38.49,30.78,36.87,41.08,37.42,30.99,32.62,33.61,31.82,17.01,32.1,31.26,40.98,32.28,29.58,40.26,32.82,28.19,28.69,25.23,29.96,26.12,25.68,35.45,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is from Long/Lat on 1910s and 1920s records, which matches the relationships to the station and church. Altittudes match. Probably +/- 300m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
