"NEWBURY, GREENHAM COMMON",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,794,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.71,3.09,3.68,1.77,3.45,2.64,4.89,2.76,4.95,1.27,4.25,
February,0.70,0.23,3.16,4.68,0.55,4.63,2.00,4.28,2.11,0.77,0.68,
March,1.84,1.33,2.61,2.50,1.12,0.50,0.67,3.66,2.96,0.12,0.99,
April,3.95,1.18,3.36,3.03,3.34,2.32,3.13,2.14,2.01,0.93,2.52,
May,1.69,1.34,0.60,1.78,4.82,4.17,1.90,1.57,1.33,1.89,1.96,
June,2.48,0.28,1.41,0.37,3.03,0.00,2.62,3.19,2.55,1.43,0.56,
July,6.61,0.25,5.08,1.52,4.79,3.00,2.36,3.31,1.78,1.23,2.34,
August,1.45,1.81,3.72,2.36,2.36,2.31,1.03,3.54,2.15,0.68,2.92,
September,1.65,2.25,1.48,1.98,4.63,2.96,0.77,6.17,1.66,0.51,2.79,
October,3.01,1.55,1.02,5.59,4.07,4.35,2.54,2.55,5.30,3.26,1.58,
November,1.71,1.89,2.31,2.24,3.16,2.18,7.13,3.24,3.24,8.22,4.64,
December,3.02,1.81,3.67,3.44,5.66,3.22,0.54,3.85,2.78,7.88,3.46,
Total,31.82,17.01,32.10,31.26,40.98,32.28,29.58,40.26,32.82,28.19,28.69,
Calc annual,31.82,17.01,32.10,31.26,40.98,32.28,29.58,40.26,32.82,28.19,28.69,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
