COMBS MOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK059763,Long,-1.912967,Lat,53.283641,Elevation,1669,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,
January,,,,,,,,2.6,,,,2.83,3.84,3.33,2.49,,2.72,1.5,0.78,1.81,4.39,1.14,4.11,5.35,2.23,3,6.03,3.68,4.9,7.68,3.92,1.59,8.02,3.97,5.61,3.91,1.62,5.28,2.9,0.95,0.55,0.38,2.45,3.98,5.3,2.76,5.12,2.51,1.78,2.44,4.15,2.56,1.89,2.3,3.44,2.62,1.6,1.6,2.12,4.1,4.77,1.85,2.02,3.48,3.9,1.76,4,1.07,2.36,1.74,3.08,1.55,3.48,2.67,3.58,4.9,2.58,0.94,2.02,2.98,2.92,4.62,3.12,,,,,,,,,,,,,,,,
February,,,,,,,,1.78,,,,1.12,3.89,0.98,2.13,,3.38,0.82,0.1,3.7,0.93,3.57,2.66,1.5,3.49,2.89,4.98,3.97,3.3,3.61,3.08,3.23,6.87,1.24,3.24,0.97,3.85,3.09,1.79,3.03,3.79,5.24,3.39,4.03,2.32,3.07,0.72,1.92,1.18,1.92,0.59,0.24,1.56,3.6,3.52,0.38,2.54,2.56,2.33,1.82,3.22,1.36,1.07,2.71,2.74,1.81,2.7,1.76,3.12,1.75,3.74,3.05,1.83,1.28,2.93,5.07,4.44,0.91,3,1.57,2.91,0.47,3.32,,,,,,,,,,,,,,,,
March,,,,,,,,0.79,,,,2.81,0.45,1.5,1.3,1.04,0.87,0.75,2.17,5.25,3.96,6.27,4.18,1.1,2.1,1.63,2.66,2.55,6.35,0.71,3.95,1.75,6.27,2.51,3.49,0.58,2.65,2.7,1.68,1.68,2.82,3.3,1.59,0.7,2.41,2.52,2.96,1.62,2.96,2.42,2.89,1.77,0.81,0.92,2.99,3.45,4.76,4.35,1.21,1.44,0.64,2.58,2.12,3.94,1.66,3.95,3.44,2.44,3.88,3.2,0.94,1.9,4.45,4.4,3.21,1.09,2.99,2,1.76,2.99,2.06,1.83,1.59,,,,,,,,,,,,,,,,
April,,,,,,,,2.45,,,,1.16,0.27,1.66,0.95,,3.83,2.38,2.2,3.61,1.46,0.5,2.43,2.65,1.33,1.72,1.86,8.65,5.93,3.14,1.85,6.29,5.18,1.84,2.09,1.13,2.84,2.83,1.82,2.63,1.71,1.52,4.26,2.86,1.66,2.63,2.04,1.09,2.26,2.85,1.21,2.65,1.27,0.78,2.32,2.27,1.55,3.2,2.84,4.42,2.03,2.15,2.1,1.91,2.31,2.85,1.33,1.6,1.74,2.18,4.18,2.78,0.5,3.52,1.28,1.08,3.05,1.26,1.7,1.54,7.27,1.68,2.21,,,,,,,,,,,,,,,,
May,,,,,,,,4.5,,,,2.51,1.28,0.97,2.08,1.69,2.97,,2.2,0.44,4.1,1.4,4.68,4.07,4.67,3.76,2.1,1.91,1.46,5.1,1.97,4.4,4.84,3.94,1.7,2.32,1.05,4.91,5.25,2.74,3.38,3.62,1.59,1.16,1.81,2.82,7.19,2.37,1.22,3.32,2.03,3.17,3.93,2.72,2.77,0.47,0.51,2.09,4.44,2.62,1.44,1.52,3.27,2.16,3.04,0.47,3.64,3.05,3.02,1.99,2.53,1.03,2,2.36,1.8,1.36,1.07,2.38,2.94,1.07,3.29,1.32,0.31,,,,,,,,,,,,,,,,
June,,,,,,,,3.44,,,,3.83,4.9,,1.71,2.23,2.48,,3.8,2.24,9.23,3.24,8.79,4.8,4.25,1.18,6.27,2.54,0.68,2.12,1.81,4,10.54,3.86,1.13,3.42,3.97,3.11,3.55,6.1,2.74,2.79,6.45,4.05,2.35,3.41,2.16,0.42,2.31,0.72,4.14,3.21,3.84,1.82,3.33,1.52,3.76,3.42,2.59,1.46,3.72,1.69,1.65,0.55,0.66,1.59,1.04,5.75,1.54,2.4,2.08,2.4,3.76,1.79,2.15,2.32,3.03,1.68,1.07,1.66,3.05,0.09,0.8,,,,,,,,,,,,,,,,
July,,,,,,,,1.53,,,,3.38,3.05,2.81,2.83,3.64,3.02,,1.57,1.6,3.6,4.55,5.06,3.66,2.37,3.57,6.43,5.52,0.22,0.81,2.83,4.86,5.36,3.81,1.86,6.01,2.12,4.68,1.16,5.54,5.93,3.69,6,3.18,5.66,1.82,4.76,1.49,7.64,3.48,3.76,2.77,3.85,2.72,4.01,5.86,1.68,1.93,1.86,2.49,3.18,2.53,2.31,2.67,1.68,2.18,1.4,3.66,3.3,3.97,5.04,0.12,3.95,1.43,3.54,4.22,1.77,1.2,3.76,2.83,5.49,0.49,3.88,,,,,,,,,,,,,,,,
August,,,,,,,,2.96,,,,2.14,4.69,2.26,2.18,2.6,5.72,6.32,2.14,5.45,8.88,3.1,3.71,7.03,3.72,5.93,6.02,3.08,3.49,3.18,1.81,2.94,4,4.41,4.65,3.96,2.99,6.54,5.91,7.36,1.95,6.22,3.57,3.1,1.66,2.24,3.34,1.92,4.22,4.45,4.86,5.56,4.62,2.22,3.91,3.27,3.12,4.28,5.27,1.65,3.83,1.93,3.44,4.33,4.23,4.25,2.42,4.3,3.32,2.28,5.1,2.01,5.98,1.47,2.98,2.9,3.18,6.38,2.69,2.45,1.7,3.61,6,,,,,,,,,,,,,,,,
September,,,,,,,,4.17,,,,1.99,4.9,2.78,2.32,1.28,,3.64,4.82,5.73,3.52,4.32,5.39,6.58,3.7,0.51,7.92,3.96,3.45,7.55,3.26,6.67,10.52,4.2,3.44,5.32,5.75,2.85,3.93,3.61,5.43,2.88,2.73,7.1,4.9,4.49,3.04,3.68,1.18,3.32,1.1,3.13,2.7,2.57,0.44,0.82,8.12,5.02,1.02,5.8,1.25,1.06,1.36,4.88,1.82,2.19,1.29,0.43,3.05,2.72,0.33,2.53,1.58,1.58,1.98,0.5,1.75,1.32,8.4,2.64,1.92,0.55,3.48,,,,,,,,,,,,,,,,
October,,,,,,,,4.48,,,,2.84,3.99,3.61,1.4,4.16,,2.18,6.48,3.78,6.15,1.66,6.17,9.92,3.52,8.99,5.02,5.39,5.53,3.79,9.92,4.93,9.3,6.53,4.04,7.65,3.8,3.94,3.99,2.3,4.14,5.48,4.42,5.47,1.71,7.39,7.24,2.76,1.92,3.92,2.64,5.77,5.95,2.31,5.14,2.89,3.35,1.8,4.44,3.76,4.51,3.59,4.52,9.44,1.2,3.32,5.76,4.79,1.2,5.35,2.53,2.89,3.06,3.18,2.53,1.98,4.66,3.78,2.11,2.63,2.4,1.94,0.57,,,,,,,,,,,,,,,,
