HASTINGS-CEMETERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ8238112264,Long,0.591258,Lat,50.881084,Elevation,500,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,1.23,3.91,1.08,1.04,1.22,2.85,0.89,3.55,4.65,0.99,3.75,1.47,1.43,3.44,3.59,3.04,2.49,3.66,1.08,2.77,3.39,2.8,,,,
February,,,,,,0.55,2.52,1.35,1.01,0.51,3.24,1.42,2.82,1.05,2.75,3.37,4.56,0.9,0.72,2.8,0.62,0.61,1.98,3.73,0.96,2.91,3.03,,,,
March,,,,,,4.23,1.66,0.79,2.22,4.54,1.65,2.28,3.18,2.06,4.99,0.66,4.13,2.08,0.88,3.56,1.33,1.16,2.12,2.52,1.79,0.61,0.29,,,,
April,,,,,,1.78,1.22,3.02,2.16,2.18,1.86,1.75,0.03,2.97,0.94,1.66,1.32,1.57,1.81,2.41,2.3,1.73,2.73,1.77,2.67,2.41,,,,,
May,,,,,,1.11,2.86,1.83,1.17,1.06,2.57,0.66,0.8,1.09,0.88,3.78,2.26,2.27,1.42,0.23,1.45,1.33,0.45,3.25,3.94,1.99,,,,,
June,,,,,,4.14,1.33,2.66,1.54,2.48,1.29,2.28,3.49,0.59,1.06,0.96,2.52,3.02,1.25,0.45,1.39,0.07,2.07,0.5,1.64,0.13,2.81,,,,
July,,,,,,0.79,0.25,3.83,2.74,2.83,2.42,0.48,1.28,2.43,1.56,3.28,0.95,4.09,3.12,1.82,2.93,0.15,2.09,0.85,2.97,3.53,1.8,,,,
August,,,,,,2.83,0.65,1.24,3.44,3.76,1.67,1.53,5.88,2.36,1.15,1.95,2.11,5.39,1.4,2.02,2.04,0.89,1.89,2.14,3.42,1.54,1.22,,,,
September,,,,,,3.3,1.22,0.82,2.1,3.22,0.28,1.07,2.98,2.35,1.36,2.72,1.54,0.86,6,0.64,4.1,0.49,2.66,2.36,1.79,2.54,,,,,
October,,,,,,2.27,4.2,5.4,1.69,6.21,4.73,5.58,3.97,5.08,2.71,3.17,5.51,3.75,3.26,1.02,1.68,0.57,1.65,6.9,4.49,2.89,,,,,
November,,,,,,5.13,6.41,2.18,1.14,0.88,5.94,6.5,2.1,3.57,3.76,2.87,4.85,2.02,2.3,4.25,1.48,1.77,1.68,2.12,3.56,2.82,,,,,
December,,,,,,1.1,2.24,2.66,2.66,5.51,3.12,6.16,2.94,1.58,7.33,7.41,5.59,2.55,1.96,4.1,3.5,2.83,2.81,3.49,3.54,4.75,,,,,
Total,,,,,,28.46,28.47,26.86,22.91,34.4,31.62,30.6,33.02,29.78,29.48,35.58,36.81,29.93,27.56,26.89,25.86,14.09,25.79,30.71,33.54,29.51,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
