HASTINGS-CEMETERY,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ8238112264,Long,0.591258,Lat,50.881084,Elevation,500,ft,,,,,,,,,,,,
Station no,RR4158,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,1.99,4.26,1.34,3.23,4.99,3.16,3.54,2.33,2.28,2.33,5.07,3.67,2.49,4.26,1.26,7.32,1.86,
February,,,0.74,1.25,1.86,3.1,4.12,1.51,0.77,1.91,1.12,1.81,1.67,1.87,0.96,0.94,3.09,2.75,1.89,
March,,,4.16,1,2.7,1.55,1.8,3.27,1.3,1.29,2,1.16,2.55,2.3,0.57,0.82,3.11,1.98,1.62,
April,,,1.21,0.74,0.94,0.24,2.3,1.92,2.07,0.99,0.24,4.29,0.97,0.99,2.37,1.22,1.73,2.63,4.57,
May,,,2.36,2.78,2.42,3.24,0.85,2.93,1.11,4.62,0.87,0.84,2.66,1.14,0.87,0.89,1.65,2.44,3.7,
June,,,1.62,2.94,1.8,1.46,2.21,1.4,0.18,0.66,0.28,2.56,2.32,2.27,1.35,2.2,1.29,2.56,1.38,
July,,,1.85,0.72,0.66,2.09,1.76,3.39,3.23,0.36,0.34,2.85,1.91,1.52,0.75,2.86,0.61,2.81,1.16,
August,,,1.85,2.1,1.88,2.82,2.59,1.17,4.13,2.67,1.29,1.11,1.73,2.17,1.58,2.49,3.63,2.54,8.71,
September,,,2.84,4.32,3.34,0.12,6.26,1.19,0.92,2.8,1.83,3.87,2.49,2.02,4.09,3.53,3.43,0.94,1.87,
October,,,7.49,3.61,2.25,10.15,2.05,3.98,2.17,1.82,3,1.31,6.14,4.39,3.4,4.9,1.7,3.69,2.97,
November,,,1,1.81,6.31,3.44,2.33,0.86,1.65,2.51,1.84,0.4,6.5,2.34,1.84,6.61,3.54,7.57,4.22,
December,,,3,2.1,1.07,1.09,2.67,2.37,5.51,2.68,3.09,1.96,6.19,0.64,2.31,1.87,7.49,2.52,2.22,
Total,,,30.11,27.63,26.57,32.53,33.93,27.15,26.58,24.64,18.18,24.49,40.2,25.32,22.58,32.59,32.53,39.75,36.17,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1864 Total IDR,,,,,,,,,,,,,,,,,,,,
