"HASTINGS BOROUGH CEMETERY",,,,,,,,,,,,
Grid ref,TQ8238112264,Long,0.591258,Lat,50.881084,,,,,,,
Station no,RR4158,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.23,3.91,1.08,1.04,1.22,,
February,,,,,,0.55,2.52,1.35,1.01,0.51,,
March,,,,,,4.23,1.66,0.79,2.22,4.54,,
April,,,,,,1.78,1.22,3.02,2.16,2.18,,
May,,,,,,1.11,2.86,1.83,1.17,1.06,,
June,,,,,,4.14,1.33,2.66,1.54,2.48,,
July,,,,,,0.79,0.25,3.83,2.74,2.83,,
August,,,,,,2.83,0.65,1.24,3.44,3.76,,
September,,,,,,3.30,1.22,0.82,2.10,3.22,,
October,,,,,,2.27,4.20,5.40,1.69,6.21,,
November,,,,,,5.13,6.41,2.18,1.14,0.88,,
December,,,,,,1.10,2.24,2.66,2.66,5.51,,
Total,,,,,,28.46,28.47,26.86,22.91,34.40,,
Calc annual,0.00,0.00,0.00,0.00,0.00,28.46,28.47,26.86,22.91,34.40,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,-0.00,0.00,,
