LOCH TUMMEL (STRATHTUMMEL P.O.),,,,,,,,,,,,
Grid ref,NN819601,Long,-3.931211,Lat,56.717592,,,,,,,
Station no,5561/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.57,3.30,1.20,3.80,,2.81,,,2.09,,,
February,3.10,0.84,1.89,5.30,,2.81,,,,,,
March,2.00,2.90,0.80,1.60,,2.17,,,,,,
April,2.10,0.81,1.30,1.50,,1.29,,2.14,4.52,,,
May,1.90,2.05,2.25,3.85,,1.63,,3.12,,,,
June,1.25,3.85,1.75,1.50,,3.55,,,,,,
July,1.85,1.10,1.80,1.00,0.45,4.18,,,,,,
August,5.50,3.32,1.00,2.20,0.39,6.16,,,,,,
September,2.12,1.25,2.20,2.10,2.23,2.04,,2.74,,,,
October,1.20,4.40,2.50,5.75,3.38,2.72,,4.76,,,,
November,11.10,1.65,5.55,6.20,1.62,1.85,,1.51,,,,
December,4.95,2.60,4.55,6.05,7.59,4.97,,3.90,,,,
Total,39.64,28.07,26.79,40.85,,36.18,,,,,,
Calc annual,39.64,28.07,26.79,40.85,15.66,36.18,0.00,18.17,6.61,0.00,,
Difference,0.00,0.00,-0.00,0.00,NaN,0.00,NaN,NaN,NaN,NaN,,
