TOP OF LINGMELL,,,,,,,,,,,,,,,,,,,,
Grid ref,NY200076,Long,-3.2355234,Lat,54.457458,Elevation,1778,ft,,,,,,,,,,,,
Station no,RR6085,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,,,,,,,6.24,15.23,16,,,,,,,
February,,,,,,,,,,,12,,,,,,,,,
March,,,,,,,,,,17.78,-999,14.55,11.62,17.7,,,,,,
April,,,,,,,,,,3.21,-999,3.36,1.15,4.3,,,,,,
May,,,,,,,,,,4.96,4.44,5.5,8.06,0.1,,,,,,
June,,,,,,,,,,3.15,5.95,8.54,8.88,3.71,,,,,,
July,,,,,,,,,,11.85,9.36,9.69,5.63,15.7,,,,,,
August,,,,,,,,,,7.14,11.77,10.92,10,8,,,,,,
September,,,,,,,,,,3.3,4.6,5.75,4.28,6,,,,,,
October,,,,,,,,,,15.5,9.7,11,7.12,9.25,,,,,,
November,,,,,,,,,,12.52,-999,,,5.75,,,,,,
December,,,,,,,,,,6.25,-999,11.75,27.48,0.55,,,,,,
Total,,,,,,,,,,,98.74,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"1851 ""-"" for Feb and Nov so apparent incomplete year but total 96.29",,,,,,,,,,,,,,,,,,,,
"1852 ""-"" for Feb and Nov so apparent incomplete year; total 100.22",,,,,,,,,,,,,,,,,,,,
"1853 ""-"" Jan, Feb so apparent incomplete year; total 71.06",,,,,,,,,,,,,,,,,,,,
dashes probably represent bracketed years,,,,,,,,,,,,,,,,,,,,
Totals removed but noted in order to avoid checking issues.,,,,,,,,,,,,,,,,,,,,
