BOVEY TRACEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX815782,Long,-3.6753,Lat,50.5919,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,6.92,1.84,3.68,5.58,3.1,7.38,8.78,6.98,7.19,7.68,3.55,4.14,8.54,9.57,5,6.58,1.25,9.4,2.16,7.11,0.89,2.55,2.27,5.7,5.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,1.63,4.89,1.4,1.33,1.76,4.87,4.86,3.64,2.55,4.33,4.25,3.38,5.87,5.13,4.36,2.29,5.14,1.82,3.11,7.37,6.52,6.78,3.36,7.95,6.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,4.72,4.78,7.36,3.03,3.14,2.69,4.91,6.96,2.8,2.89,3.12,2.31,5.12,4.98,0.72,1.46,4.99,3.49,2.15,0.92,3.36,5.83,1.57,1.82,4.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,1.84,0.44,3.55,1.86,1.28,0.79,2.54,3.2,3.43,1.1,0.35,5.83,3.01,0.96,2.94,1.95,4.47,7.07,4.78,3.94,2.26,0.96,7.02,1.34,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,3.96,1.81,2.7,2.64,1.4,3.44,3.09,5.41,1.94,6.1,2.38,0.23,2.22,1.45,1.31,3.14,0.58,4.52,6.41,3.43,0.92,1.91,2.17,1.56,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,9.09,3.49,4.15,4.19,1.33,0.79,1.53,0.6,0.66,0.26,0.12,1.74,3.49,1.57,1.53,3.88,1.67,1.8,4.34,8.39,1.91,3.76,3.79,3.35,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,1.94,4.14,2.23,1.34,0.66,3.72,1.02,5.4,0.34,0.46,0.7,4.25,3.75,2.39,1.37,5.26,0.95,3.35,1.71,3.9,3.69,2.07,5.03,3.43,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,5.06,0.97,2.04,4.63,1.4,5.32,2.27,1.63,4.04,0.22,1.11,1.34,1.87,5.48,3.45,1.95,3.19,5.66,6.5,5.25,0.84,4.71,2.81,1.17,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,1.99,3.28,3.59,4.26,2.88,0.11,9.02,2.89,7.44,5.4,2.15,7.22,2.68,2.51,6.28,4.66,7.48,3.09,2.23,3.97,3.47,2.57,4.29,5.89,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,2.53,2.1,6.8,6.89,1.78,8.5,3,3.59,2.81,3.75,5.7,5.52,6.16,2.26,6.98,7.48,4.97,3.35,5.71,1.15,8.2,5.6,7.24,4.7,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
