FULWOOD WW HAIGHTON RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD573352,Long,-2.64849,Lat,53.8114,Elevation,262,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3053/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,4.88,2.19,5.41,2.84,1.81,1.64,4.88,2.05,3.13,1.53,2.29,1.94,2.11,1.27,3.02,4.69,3.79,2.18,2.8,3.75,3.5,1.93,4.7,1.49,3.09,2.13,4.91,1.49,2.66,3.81,3.13,3.94,,,,,,,,,,,,,,,,,,,,,,,,,3.05,1.09,5.26,5.44,5.77,3.35,4.68,2.92,7.35,2.33,3,4.57,4.09,2.04,4.81,2.84,4.24,3.65,3.56,2.64,5.46
February,,,,,3.13,2.82,1.59,2.37,0.81,2.08,0.74,0.16,2.37,4.21,4.97,0.73,1.96,3.15,2.5,1.83,2.63,1.98,1.59,3.75,3.11,1.89,3.36,1.98,2.95,1.59,3.54,4.16,1.48,1.48,2.03,2.87,,,,,,,,,,,,,,,,,,,,,,,,,2.02,4.08,1.49,2.38,1.65,4.71,5.04,0.63,2.94,1.97,4.57,3.06,1.3,1.22,2.74,1.86,0.6,2.72,6.97,0.59,2.6
March,,,,,2.95,3.78,3.05,2.39,2.81,2.54,3.41,0.88,0.93,0.8,2.39,3.29,6.14,3.56,1.41,2.74,0.54,2.97,3.18,3.78,2.44,3.11,3.57,4.09,2.8,2.37,0.91,1.5,5.4,4.39,3.51,1.25,,,,,,,,,,,,,,,,,,,,,,,,1.95,3.21,2.98,2.83,0.93,0.58,1.83,0.88,6.29,2.41,2.18,1.97,5.01,2.04,1,2.2,1.31,1.31,3.37,1.65,1.68,1.28
April,,,,,0.97,1.56,2.96,1.14,1.69,2.59,1.25,1.7,1.67,0.21,1.43,2.17,1.98,2.54,1.92,3.41,2.49,1.61,1.59,2.3,2.56,2.56,2.07,1.72,2.06,3.66,2.66,2.92,0.59,4.04,0.96,2.67,,,,,,,,,,,,,,,,,,,,,,,,2.12,2.81,1.24,1.97,3.3,3.28,2.41,1.17,3.61,1.71,4.2,3.18,2.66,3.63,2.75,1.44,2.35,1.8,0.63,1.55,2.29,2.59
May,,,,,2.15,1.46,4.51,1.48,0.67,2.75,2.18,2.28,5,2.07,2.18,0.5,0.22,2.37,3.55,3.51,1.71,0.62,3.53,3.17,2.59,0.62,4.62,4.09,2.69,1.77,2.45,1.24,2.29,2.67,2.16,1.62,,,,,,,,,,,,,,,,,,,,,,,,0.95,1.49,3.04,3.14,3.34,3.16,3.42,1.32,2.41,1.42,2.86,1.44,1.17,1.98,2.11,2.39,2.95,1.83,2.15,4.88,1.54,2.39
June,,,,,1.79,3.15,1.8,0.65,2.38,0.9,4.65,1.31,3.66,1.77,3.2,2.36,3.41,4.39,2.85,2.46,2.67,1.97,1.68,2.15,1.76,2.72,1.68,8.46,1.78,2.57,2.67,2.75,7.55,2.25,1.46,1.9,,,,,,,,,,,,,,,,,,,,,,,,3.28,1.06,0.6,0.98,4.02,3.63,4.46,3.58,2.87,4.97,0.99,3.11,1.87,3.85,1.81,4.28,3,3.01,1.61,4.95,3.41,1.09
July,,,,,7.39,2.14,5.16,1.45,7.05,3.25,3.67,4.48,1.21,4.59,3.64,5.47,2.93,1.95,0.98,1.76,2.4,1.15,3.55,4.81,1.45,2.76,2.05,2.79,4.48,5.85,5.35,0.46,5.44,2.03,4.61,3.83,,,,,,,,,,,,,,,,,,,,,,,,6.46,5.34,2.4,4.63,4.52,3.83,2.63,5.62,3.07,2.72,3.32,4.24,2.43,2.03,5.35,6.39,1.14,4.52,5.03,3.67,3.83,6.05
August,,,,,3.12,1.73,2.14,2.02,4.14,5.79,6.72,9.89,5.69,5.73,6.29,4.49,3.27,5.01,5.85,2.27,6.5,2.79,3.13,6.01,4.92,4.14,3.7,4.6,4.27,3.74,4.91,4.16,6.16,2.03,2.71,4.84,,,,,,,,,,,,,,,,,,,,,,,,1.89,2.52,5.81,4.71,6.42,3.11,2.71,6.82,0.12,3.77,3.58,8.93,3.92,6,4.37,6.71,1.04,13,5.22,4.34,0.61,5.27
September,,,,,3.53,5.89,5.19,5.31,1.84,3.9,5.62,4.44,4.9,6.43,1.05,1.7,5.22,3.84,1.2,6.5,2.54,1.18,1.58,4.94,1.58,4.38,1.25,0.86,4.81,3.12,0.34,4.65,1.93,1.87,4.25,0.72,,,,,,,,,,,,,,,,,,,,,,,,1.56,4.99,0.98,3.67,5.19,6.76,2.83,6.82,5.18,3.9,1.8,7.18,2.72,3.74,4.27,6.8,3.35,4.53,7.53,5.41,0.49,3.48
October,,,,,3.06,5.08,5.99,2.3,2.54,3.13,2.33,3.68,4.25,6.6,3.15,4.85,4.6,2.93,3.6,3.07,6.09,3.67,4,8.94,3.06,3.78,6.71,3.42,2.54,5.27,3.98,3,4.03,2.11,1.75,1.17,,,,,,,,,,,,,,,,,,,,,,,,1.73,4.3,5.56,6.35,5.31,4.94,5.2,0.72,0.63,3.93,4.81,3.41,1.56,2.91,1.63,8.56,2.81,3.12,6.68,3.87,4.62,2.61
