BUDLEIGH-SALTERTON-TIDWELL-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY059833,Long,-3.33146,Lat,50.64221,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,3.77,3.61,4.22,1.92,4.69,2.24,2.78,1.89,1.93,0.5,5.34,4.96,3.11,5.57,1.9,4.98,,,,,,,,,
February,,,,,,,2.75,3.53,2.34,1.63,1.21,2.25,0.03,3.9,0.12,2.97,2.85,5.55,0.74,1.32,3.8,3.12,,,,,,,,,
March,,,,,,,0.31,3.89,3.22,0.48,2.37,1.75,2.31,2.96,2.38,1.17,3.91,4.75,0.13,1.34,2.52,2.45,,,,,,,,,
April,,,,,,,2.24,1.81,1.16,1.1,3.24,2.96,2.21,1.74,2.81,2.9,2.15,2.53,0.17,2.33,3.09,1.43,,,,,,,,,
May,,,,,,,0.55,0.48,1.38,2.56,1.87,2.89,4,1.73,0.81,2.02,0.62,2.6,1.88,0.38,1.77,2.12,,,,,,,,,
June,,,,,,,3.18,2.03,1.67,2.48,0.18,3.29,3.36,2.02,1.75,3.6,1.97,0.73,1.33,2.76,0.65,1.68,,,,,,,,,
July,,,,,,,1.47,3.55,1.2,1.19,1.71,3.7,1.99,2.77,0.39,0.36,4.22,2.61,3.37,4.71,2.11,0.82,,,,,,,,,
August,,,,,,,1.06,2.82,1.91,1.71,3.22,3.48,2.42,1.03,2.61,2.38,0.14,1.63,4.57,5.01,0.04,3.47,,,,,,,,,
September,,,,,,,1.36,5.6,1.51,0.31,4.92,2.41,3.81,2.47,2.44,2.45,2.72,2.15,1.24,1.37,1.25,0.99,,,,,,,,,
October,,,,,,,2.37,1.74,4.78,4.82,2.98,0.38,5.87,2.37,2.12,3.17,0.96,3.46,2.33,4.76,3.62,1.6,,,,,,,,,
November,,,,,,,8.72,3.18,3.29,9.09,5.11,5.62,2.05,1.19,2.11,5.31,2.46,1.96,5.6,4.53,5.94,2.11,,,,,,,,,
December,,,,,,,0.74,3.67,2.4,6.33,3.98,1.5,2.17,2.75,8.96,4.49,3.03,2.87,3.78,1.6,3.06,2.44,,,,,,,,,
Total,,,,,,,28.52,35.91,29.08,33.62,35.48,32.47,33,26.82,28.43,31.32,30.37,35.8,28.25,35.68,29.75,27.21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Observer moved 2 miles NW to Squabmoor Stn No 1802/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
