"GLASGOW GEORGE SQUARE",,,,,,,,,,,,
Grid ref,NS592653,Long,-4.251184,Lat,55.860260,,,,,,,
Station no,RR4362,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.63,2.40,2.92,6.94,3.29,1.35,4.49,2.27,3.85,4.79,,
February,2.63,1.29,1.40,5.79,2.14,1.94,2.53,2.16,2.36,1.75,,
March,0.49,2.50,2.08,6.12,1.34,2.94,3.63,3.86,3.76,2.59,,
April,1.78,2.67,0.64,1.11,3.75,2.58,1.11,1.14,1.10,3.56,,
May,2.05,1.83,1.96,2.56,3.54,1.80,4.34,3.23,2.96,2.01,,
June,3.26,3.58,1.63,1.48,1.60,0.56,1.59,3.98,2.37,3.28,,
July,3.32,2.42,2.87,3.29,2.81,2.45,2.35,3.33,1.99,3.27,,
August,4.85,3.91,2.82,6.09,3.19,3.64,4.71,4.38,1.89,2.63,,
September,3.59,2.71,2.80,3.38,2.33,2.38,1.69,1.32,4.73,1.58,,
October,4.75,3.44,1.36,7.26,1.75,2.20,4.86,5.89,1.63,5.13,,
November,6.53,2.91,1.67,2.37,2.17,3.19,4.21,2.23,2.85,2.24,,
December,7.42,4.14,3.69,2.13,3.26,3.21,3.58,5.01,2.78,4.14,,
Total,45.30,33.80,25.84,48.52,31.17,28.24,39.09,38.80,32.27,36.97,,
Calc annual,45.30,33.80,25.84,48.52,31.17,28.24,39.09,38.80,32.27,36.97,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
