BEAULIEU-MOONHILLS-GATE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU404027,Long,-1.4278,Lat,50.82246,Elevation,130,ft,,,,,,,,,,,,,
Station no,640,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,6.85,1.25,4.74,2.47,2.85,2.15,2.83,0.91,,,,,
February,,,,,,,,,2.27,1.09,0.75,2.45,0.2,3.12,0.09,2.95,,,,,
March,,,,,,,,,2.89,0.18,1.94,1.3,1.45,3.34,2.78,1.04,,,,,
April,,,,,,,,2.31,2.16,1.21,2.7,3.24,3.27,1.2,2.35,3.26,,,,,
May,,,,,,,,0.61,1.21,2.61,2.65,3.1,5.2,2.45,0.86,1.15,,,,,
June,,,,,,,,2.4,2.65,1.44,0.84,2.42,1.65,1.79,1.36,3.05,,,,,
July,,,,,,,,2.02,2.11,2.3,2.47,4.07,3.83,2.21,1.19,2.97,,,,,
August,,,,,,,,4.46,2.07,2.12,2.85,3.68,1.3,1.13,4.3,3.65,,,,,
September,,,,,,,,5.53,1.56,0.4,3.53,2,3.51,3.09,3.03,4.67,,,,,
October,,,,,,,,2.28,7.79,4.39,2.72,0.78,6.58,2.53,1.82,6.08,,,,,
November,,,,,,,,3.18,3.01,8.37,5.49,4.14,2.15,0.74,3.47,7.92,,,,,
December,,,,,,,,3.87,3.15,6.84,2.99,1.03,1.72,0.81,9.94,3.28,,,,,
Total,,,,,,,,,37.72,32.2,33.67,30.68,33.71,24.56,34.02,40.93,,,,,
,,,,,,,,,,,,,,,,,,,,,
Moonhills Gate marked on OS map,,,,,,,,,,,,,,,,,,,,,
1930 Total amended on sheet,,,,,,,,,,,,,,,,,,,,,
