PARKHILL FILTERS ( PT. GLAS. W.W. ),,,,,,,,,,,,
Grid ref,NS354736,Long,-4.636076,Lat,55.927216,,,,,,,
Station no,5309,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.94,4.10,2.08,5.54,3.53,3.16,7.90,5.79,1.53,3.80,,
February,2.65,2.01,2.44,5.29,3.71,1.09,4.19,3.77,1.73,4.79,,
March,2.80,4.04,1.78,3.31,1.94,2.39,5.20,1.48,3.17,2.67,,
April,3.20,2.26,1.81,1.67,2.47,1.51,2.11,1.89,3.26,5.48,,
May,2.13,1.97,1.96,3.74,3.94,2.56,2.82,3.43,0.81,2.27,,
June,1.72,2.98,1.21,2.86,2.17,2.43,1.78,3.18,3.41,2.96,,
July,2.90,1.89,4.50,2.76,1.27,4.00,5.24,6.37,6.32,4.78,,
August,5.39,4.01,3.82,4.46,1.20,5.39,4.27,5.32,1.04,3.94,,
September,4.49,3.35,4.52,6.79,3.69,5.47,4.03,4.66,1.27,3.11,,
October,1.09,7.04,3.08,10.36,3.83,4.28,6.78,4.59,5.36,3.12,,
November,7.55,1.54,9.01,8.60,2.80,2.46,1.87,1.98,6.15,7.05,,
December,8.88,4.95,6.14,5.87,8.30,7.61,6.41,6.54,8.70,6.20,,
Total,47.74,40.14,42.35,61.25,38.85,42.35,52.60,49.00,42.75,50.17,,
Calc annual,47.74,40.14,42.35,61.25,38.85,42.35,52.60,49.00,42.75,50.17,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
