"MANCHESTER (WHITWORTH PARK)",,,,,,,,,,,,
Grid ref,SJ847958,Long,-2.231893,Lat,53.458725,,,,,,,
Station no,2834,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.24,3.28,1.40,3.47,2.19,4.87,2.27,4.11,,,,
February,2.12,1.19,1.68,2.94,1.59,0.88,2.11,,,,,
March,4.57,2.40,2.00,2.58,2.02,1.03,2.72,,,,,
April,2.17,3.61,2.30,0.68,2.07,3.30,0.41,,,,,
May,1.74,1.89,1.83,2.66,2.64,0.90,1.32,,,,,
June,1.47,2.55,2.38,2.99,3.05,2.32,1.83,,,,,
July,3.25,2.81,4.21,5.18,0.92,5.50,5.40,,,,,
August,4.42,2.24,3.74,5.15,1.06,8.53,3.99,,,,,
September,2.99,3.33,2.98,4.04,2.34,2.74,5.50,,,,,
October,1.27,3.48,2.08,5.45,1.76,2.42,3.20,,,,,
November,6.46,2.54,3.22,5.52,1.69,1.38,1.85,,,,,
December,5.50,3.56,1.23,5.02,4.22,2.74,3.22,,,,,
Total,39.20,32.88,29.05,45.68,25.55,36.61,33.82,,,,,
Calc annual,39.20,32.88,29.05,45.68,25.55,36.61,33.82,4.11,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,NaN,NaN,NaN,,
