HENSTRIDGE-INWOOD-HOUSE-GARDENS,,,,,,,,,,,,,,,,,,,,
Grid ref,ST712201,Long,-2.41154,Lat,50.97961,Elevation,380,ft,,,,,,,,,,,,
Station no,RR8950,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,1.08,,,4,1.41,4.73,5.42,0.86,4.16,,,,
February,,,,,,,,1.62,,,4.36,2.23,2.67,1.05,4.37,5.06,,,,
March,,,,,,,,0.95,,,0.81,2.47,4.84,2.9,5.4,0.96,,,,
April,,,,,,,,4.99,,2.21,2.54,2.22,0.14,3.03,1.26,1.51,,,,
May,,,,,,,,1.68,,1.33,2.05,1.07,1.65,2.71,2.03,2.64,,,,
June,,,,,,,,3.12,,3.52,5.17,2.23,4.42,1.17,1.96,1.07,,,,
July,,,,,,,,1.65,,3.52,4.15,0.11,3.24,1.42,4.05,3.71,,,,
August,,,,,,,,2.56,,2.43,3.78,1.1,6.22,1.56,2.56,2.92,,,,
September,,,,,,,,0.68,,3.2,0.3,1.28,1.38,4.06,2.36,1.85,,,,
October,,,,,,,,7.28,,7.03,5,3.18,4.29,3.27,3.01,7.4,,,,
November,,,,,,,,3.59,,1.06,3.97,3.05,2.33,3.8,4.25,2.36,,,,
December,,,,,,,,4.08,,4.71,6.61,8.82,4.86,2.93,6.82,7.1,,,,
Total,,,,,,,,33.28,,,42.74,29.17,40.77,33.32,38.93,40.74,,,,
,,,,,,,,,,,,,,,,,,,,
Huge gardens and locations some distance from house match 350 ft elevation on sheet ,,,,,,,,,,,,,,,,,,,,
Lots of greenhouses but all higher than given elevation of 350ft,,,,,,,,,,,,,,,,,,,,
Distance to greenhouse church and station locates it at higher elevation between 380 and 400ft,,,,,,,,,,,,,,,,,,,,
