HAILSHAM-MICHELHAM-PRIORY,,,,,,,,,,
Grid ref,TQ558093,Long,0.21246202,Lat,50.862223,Elevation,45,ft,,
Station no,536/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.9,1,1.71,4.22,5.63,2.51,4.25,,
February,,1.25,1.42,3.04,1.73,0.36,4.7,3.29,,
March,,2.83,0.21,4.07,1.23,0.42,1.38,1.94,,
April,,1.53,1.65,0.46,0.26,1.25,0.12,1.15,,
May,,1.47,1.52,2.04,4.55,0.55,0.91,2.44,,
June,,0.81,1.41,2.47,2,2.52,0.91,3.98,,
July,,0.68,3.57,3.61,1.84,4.06,4.25,2.63,,
August,,3.35,1.94,2.96,1.93,3.84,3.11,4.26,,
September,,4.35,3.66,3.07,2.34,4.16,3.37,4.48,,
October,,3.34,2.78,2.55,4.96,1.72,1.82,4.1,,
November,,5.25,3.99,5.95,1.21,0.87,3.6,2.68,,
December,,4.48,0.78,2.45,4.37,5.18,2.56,4.93,,
Total,,32.24,23.93,34.38,30.64,30.56,29.24,40.13,,
