"DRYNACHAN LODGE",,,,,,,,,,,,
Grid ref,NH865395,Long,-3.892054,Lat,57.431611,,,,,,,
Station no,5683/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,3.00,4.83,4.75,3.44,,
February,,,,,,,2.61,3.73,0.93,2.52,,
March,,,,,,,3.35,2.24,0.69,1.30,,
April,,,,,,,0.91,2.24,4.30,3.43,,
May,,,,,,,1.61,3.84,0.71,0.49,,
June,,,,,,,2.43,2.97,2.41,4.08,,
July,,,,,,,6.11,4.83,3.65,3.44,,
August,,,,,,,8.23,4.16,1.61,9.99,,
September,,,,,,,2.60,1.92,0.92,2.91,,
October,,,,,,,2.56,3.22,4.72,4.85,,
November,,,,,,2.66,4.52,1.15,4.03,1.87,,
December,,,,,,3.38,3.44,3.04,2.51,3.11,,
Total,,,,,,,41.37,38.17,31.23,41.43,,
Calc annual,0.00,0.00,0.00,0.00,0.00,6.04,41.37,38.17,31.23,41.43,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,,
