DRYNACHAN LODGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH865395,Long,-3.892054,Lat,57.431611,Elevation,755,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5683/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,5.52,1.45,3.32,2.44,6.05,5.13,5.28,7.18,0.84,1.77,3.78,1.99,,5.54,,2.01,3.18,,,,,,,,,3,4.83,4.75,3.44
February,,1.21,4.03,1.54,5.66,1.98,5.18,2.71,2.66,1.77,3.21,3.08,4.82,,2.89,,0.78,3.71,,,,,,,,,2.61,3.73,0.93,2.52
March,,4.62,0.89,2.16,2.36,1.92,5.05,2.38,3.87,3.85,2.82,0.91,3.8,,1.03,,2.7,,,,,,,,,,3.35,2.24,0.69,1.3
April,,5.78,2.9,6.25,4.37,1.98,0.59,1.26,2.47,3.07,1.53,2.41,2.8,,1.61,2.64,4.55,,,,,,,,,,0.91,2.24,4.3,3.43
May,,4.04,1.82,3.15,2.87,1.87,1.71,3.11,1.64,2.14,4.84,3.31,4.94,,3.52,1.97,1.34,,,,,,,,,,1.61,3.84,0.71,0.49
June,,0.41,1.75,2.29,4.07,1.58,2.87,5.67,2.51,1.82,0.38,1.96,3.41,,3.02,2.84,1.92,,,,,,,,,,2.43,2.97,2.41,4.08
July,,4.81,3.13,4.35,2.08,6.75,2.88,5.16,5.98,9.61,2.53,5.46,3.72,,3.52,7.5,2.7,,,,,,,,,,6.11,4.83,3.65,3.44
August,,2.26,2.88,4.02,3.56,3.97,3.22,2.3,1.7,3.17,9.31,4.87,,,,5.05,0.08,,,,,,,,,,8.23,4.16,1.61,9.99
September,,4.71,2.12,1.14,6.05,4.18,0.84,4.06,3.09,3.39,1.2,4.5,,,,3.3,4.1,,,,,,,,,,2.6,1.92,0.92,2.91
October,,8.56,7.02,6.16,10.27,5.25,2.79,7.1,2.91,4.28,4.48,,,,,0.37,1.29,,,,,,,,,,2.56,3.22,4.72,4.85
November,,4.87,2.12,2.17,3.97,3.02,1.08,5.02,4.17,8.23,2.43,,,4.07,,4.34,5.47,,,,,,,,,2.66,4.52,1.15,4.03,1.87
December,,2.61,0.46,3.21,2.78,4.95,2.86,2.32,3.17,5.35,5.05,2.95,,5.51,,2.3,2.94,,,,,,,,,3.38,3.44,3.04,2.51,3.11
Total,,49.4,30.57,39.76,50.48,43.5,34.2,46.37,41.35,47.52,39.55,,,,,,29.88,,,,,,,,,,41.37,38.17,31.23,41.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 ON+T Deleted estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945 Au deleted ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Printed ? Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958 May small G move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
