ABERDOVEY-OBSERVER-GROSHOLZ,,,,,,,,,,
Grid ref,SN613960,Long,-4.0467518,Lat,52.544134,Elevation,50,ft.,,
Station no,RR2250,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,4.13,,,,,,
February,,,4.2,3.76,4.23,,,,,
March,,,2,1.88,3.59,,,,,
April,,,3.56,1.11,,,,,,
May,,,1.62,0.97,,,,,,
June,,,4.67,3.65,,,,,,
July,,,3.79,3.54,,,,,,
August,,,5.26,4.15,,,,,,
September,,,3.14,5.96,,,,,,
October,,,7.26,5.25,,,,,,
November,,,6.18,5.8,,,,,,
December,,,5.18,1.52,,,,,,
Total,,,,41.72,,,,,,
,,,,,,,,,,
NGR is based on the relationship to the church at the right altitude. Could be +/- 100m.,,,,,,,,,,
"There is a reference to Dr Grosholz living at Pier House, which seems to be 100m S on the riverfront but this does not work with the altitude unless the gauge is on the roof of a building",,,,,,,,,,
