ABERDOVEY-OBSERVER-UDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SN620961,Long,-4.036478,Lat,52.54521,Elevation,22,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,5.93,2.61,3.49,2.03,3.03,1.61,2.34,5.14,2.86,4.73,2.24,2.13,,,,4.97,4.96,,,,,,,,
February,,,,,,,4.35,1.95,3.6,0.81,4.38,2.61,2.32,1.57,3.97,5.09,4.14,2.25,,,,0.3,4.64,,,,,,,,
March,,,,,,,2.4,1.92,3.93,3.53,1.59,2.48,6.29,4.85,4.67,1.75,2.46,2.92,,,,4.13,3.16,,,,,,,,
April,,,,,,,1.32,2.45,2.36,3.66,3.64,1.98,0.4,4.85,0.48,2.26,2.25,2.52,,,4.41,1.52,2.21,,,,,,,,
May,,,,,,,3.9,3.35,2.56,1.31,1.62,2.06,1.14,3.05,2.61,3.39,4.25,2.55,,,3.49,1.91,1.62,,,,,,,,
June,,,,,,,1.93,4.41,2.75,1.87,4.74,2.42,4.89,3.65,2.09,1.32,2.36,2.52,,,2.99,0.49,1.28,,,,,,,,
July,,,,,,,1.35,3.68,4.66,4.36,4.03,1.29,3.53,1.97,5,3.52,1.21,2.05,,,7.15,1.74,4.39,,,,,,,,
August,,,,,,,3.93,3.89,4.38,2.03,5.19,4.58,7.56,2.86,3.73,2.82,2.33,8.35,,,2.39,6.51,4.76,,,,,,,,
September,,,,,,,1.57,1.28,3.28,3.42,0.36,3.26,0.41,3.96,2.26,1.07,4.1,3.43,,,5.46,1.93,,,,,,,,,
October,,,,,,,6.97,7.83,2.08,6,3.71,4.18,4.76,3.72,1.24,2.49,6.76,6.49,,,2.69,3.47,,,,,,,,,
November,,,,,,,2.24,3.37,2.84,1.73,4.81,4.9,4.85,5.08,4.21,3.84,3.14,3.73,,,2.14,2.33,,,,,,,,,
December,,,,,,,4.02,4.24,4.46,4.94,4.66,5.16,4.68,2.32,7.51,8.35,3.33,2.28,,,2.51,3.8,,,,,,,,,
Total,,,,,,,39.91,40.98,40.39,35.69,41.76,36.53,43.17,43.02,40.63,40.63,38.57,41.22,,,,33.1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is 600 yards East of church, based on relationship described in the record, and at the correct altitude.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Not 100% sure that the location is always the same, particularly the 1900s record which has an observer that differs from later records and also does not have any relationships to church or station, but altitude matches.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
