NORMANTON-ON-THE-WOLDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK622328,Long,-1.076997,Lat,52.889066,Elevation,170,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,1.56,0.73,,,,,,,,,,,1.47,0.95,1.82,1.16,3.49,0.81,1.67,0.85,2.42,3.76,1.01,1.07,2.01,2.69,0.8,2.75,0.93,0.72,0.99,1.87,0.74,3.44,2.87,1.1,2.15,1.2,2.04,0.99,3.32,2.55,1.95,2.8,1.13,1.97,1.96,2.51,1.67,4.07,1.27,5.81,1.43,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,2.28,2.55,,,,,,,,,,,0.07,1.19,2.36,1.87,0.22,0.55,3.04,0.67,1.24,3.53,1.08,1.43,0.75,2.72,0.76,1.98,1.08,1.17,0.52,1.48,1.14,1.09,0.8,1.08,2.81,4.48,0.29,1.6,2.72,1.75,0.37,2.08,3.51,0.73,2.43,2.03,1.82,1.94,0.64,0.86,2.35,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,0.86,1.07,,,,,,,,,,,1.04,0.82,0.16,0.49,1.71,1.98,2.01,1.32,0.68,0.68,2.05,1.12,3.67,1.86,2.25,1.42,1.08,2.13,2.75,0.67,1.55,2.36,3.42,2.28,0.99,4.09,0.59,0.75,4.3,1.8,1.3,1.42,1.26,0.67,1,0.48,1.88,1.58,0.13,2.14,0.31,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,3.24,2.57,,,,,,,,,,,1.71,0.8,0.3,1.27,1.64,0.86,1.53,1.7,2.33,0.86,1.34,1.81,1.81,1.07,1.64,0.54,2,2.4,1.08,1.38,0.99,0.25,2.66,0.97,0.85,1.27,0.63,1.73,1.72,4.03,1.01,2.86,2.13,1.71,1.34,2.36,2.07,0.55,1.17,3.08,3.25,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,3.21,1.29,,,,,,,,,,,2.84,2.55,3.02,1.73,1.12,0.59,1.7,2.24,3.28,1.83,0.86,2.11,2.78,1.45,0.39,1.73,3.19,1.82,1.16,2.2,1.35,1.96,2.1,2.16,1.77,2.77,1.37,1.77,1.38,2.27,1.83,0.98,2.28,3.93,3,2.67,0.79,1.38,1.49,2.39,2.98,5.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,3.4,6.12,,,,,,,,,,,3.89,2.6,0.95,1.95,1.04,1.73,2.16,1.09,1.19,4.66,1.76,1.92,1.91,0.39,2.94,2.84,2.56,1.16,2.33,1.73,2.29,4.11,1,2.51,0.98,1.75,1.92,0.32,0.91,2.41,0.64,0.86,0.62,2.15,0.06,2.5,4.86,2.65,1.31,1.31,2.56,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,2.61,6.28,,,,,,,,,,,2.02,1.56,2.69,2.68,2.94,3.44,1.06,1.24,1.99,2.14,2.84,0.99,1.65,3.8,1.22,0.49,2.85,2.45,3.84,2.48,0.16,3.28,0.94,3.66,7,2.46,1.54,1.86,4.22,4.26,0.58,4.29,3.92,2.11,1.49,1.8,2.39,1.16,1.74,4.33,4.04,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,3.64,2.53,,,,,,,,,,,3.52,2.41,3.17,2.69,1.68,1.42,2.95,2.4,0.48,4.25,1.75,4.22,5.34,2.73,2.94,1.1,2.39,2.7,3.1,3.51,3.17,5.24,1.12,1.9,2.36,1.89,4.9,1.53,3,0.95,4.29,5.92,2.15,2.52,1.1,1.62,3.18,2.59,2.02,2.09,3.73,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,3.4,,,,,,,,,,,,0.96,2.75,1.56,0.42,0.64,3.01,2.22,0.43,2.24,0.72,1.13,1.27,3.27,1.81,1.99,1.09,0.58,1.13,2.13,0.87,1.47,0.98,1.97,0.86,1.24,0.88,1.5,4.17,1.77,1.48,1.08,1.71,2.58,2.23,3.67,1,4,0.56,0.92,3.85,1.94,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,1.04,,,,,,,,,,,,4.52,3.95,1.55,2.72,2.21,2.55,1.03,3.08,2.77,1.79,1.63,2.05,5.75,0.49,1.03,4.73,3.72,1.09,2.61,1.79,2.01,2.33,3.28,1.96,1.37,1.78,3.35,1.37,2.08,1.12,1.57,0.87,2.08,3.98,3.11,2.57,2.15,3.74,3.04,2.43,0.57,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,1.27,,,,,,,,,,,,2.03,0.82,1.45,2.24,2.36,1.22,1.1,1.97,1.21,2.39,1.39,1.28,1.82,0.89,2.71,3.17,1.63,1.71,0.55,3.26,2.21,1.83,1.62,3.41,2.37,2.69,1.09,1.75,2.13,0.94,1.16,0.93,2.23,1.68,1.52,3.38,2.61,2.73,4.76,2.74,1.98,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,0.93,,,,,,,,,,,,3.1,1.02,2.35,2.37,1.92,2.93,2.38,1.83,2.18,3.97,4.24,1.41,1.1,1.61,0.68,2.61,2.58,1.34,3.1,4.07,3.82,3.56,0.8,4.4,4.4,2.33,0.87,2.95,3.85,2.58,1.6,3.11,2.3,2.06,1.83,0.77,2.5,1.83,4.67,1.98,0.74,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,27.44,,,,,,,,,,,,27.17,21.42,21.38,21.59,20.97,21.09,22.85,18.82,22.01,30.58,21.08,20.68,31.86,21.51,19.35,24.45,24.59,19.82,24.16,25.31,20.9,30.43,22.58,26.29,28.29,27.59,20.09,20.79,31.4,26.14,17.38,27.83,26.19,25.74,22.51,23.69,29.92,24.78,23.16,33.01,25.88,25.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1880 values were contained on Beeston Fields TYR, as gauge moved there in September",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 Mar IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
