STREET-OVERLEIGH-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST483354,Long,-2.7399833,Lat,51.115545,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,4.56,0.95,3.36,1.16,0.7,3.2,3.99,3.42,2.99,3.69,1.26,3.76,2.12,3.16,3.05,3.46,1.37,3.33,1.79,1.45,1.82,2.05,0.62,3.81,4.25,2.37,5.26,2.26,3.13,3.06,5.21,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,0.66,2.26,4.33,4.98,1.16,0.88,2.92,0.94,0.2,2.27,5.99,0.3,3.46,1.72,3.14,2.02,1.37,0.7,1.9,0.02,4.06,0.17,2.33,2.13,4.53,0.78,1.12,2.13,2.8,0.22,0.8,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,2.82,4.91,0.83,2.88,2.86,0.98,4.62,1.93,1.47,2.41,1.52,1.03,0.51,0.88,3.44,2.43,0.15,1.86,1.06,1.63,2.11,2.03,0.97,3.1,3.65,0.17,1.25,1.92,2.66,1.59,0.78,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,2.41,1.27,0.97,0.99,1.71,2.04,1.97,3.33,0.82,2.18,1.83,2.21,2.32,2.26,1.37,1.19,0.87,2.7,1.95,2.08,1.33,2.1,4.21,2.46,1.92,0.03,2.51,2.54,2.01,0.62,0.91,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,2.77,1.55,2.7,3.16,2.24,1.58,0.66,2.06,1.61,0.58,1.12,4.14,2.92,2.15,1.57,0.84,1.58,1.74,3.27,4.38,1.74,0.93,1.12,1.37,2.17,1.96,0.57,2.85,1.25,4.99,1.53,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,1.14,1.56,1.16,1.97,6.79,0.93,1.2,2.21,0.7,0.93,0.42,3.11,0.01,3.22,2.8,2.72,1.87,1.02,2.91,0.97,1.28,0.83,3.66,2.36,0.72,1.43,3.31,0.76,1.47,0.47,2.54,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,1.07,4.72,4.09,0.78,2.92,4.46,3.28,5.01,0.29,2.99,1.36,3.16,2.42,4.39,3.7,2.49,1.17,1.78,3.92,2.3,2.36,0.69,0.71,6.07,5.18,3.2,3.59,3.37,2.44,1.58,2.58,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,1.82,2.93,1.97,5.56,5.76,3.36,3.91,1.38,1.37,4.25,2.39,6.16,3.55,1.9,3.53,1.98,3.16,3.41,3.93,1.37,0.87,3.3,1.77,0.48,1.46,2.43,3.46,0.4,4.22,4.73,3.93,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,3.27,1.88,1.49,3.13,1.73,5.07,1.39,1.38,1.77,1.92,2.79,3.57,3.59,1.4,6.13,1.17,0.31,3.17,1.51,4.14,1.86,2.23,3.56,3.51,4.83,2.09,1.1,1.59,0.75,2.07,3.19,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,2.36,2.54,4.44,4.91,3.83,1.62,2.79,2.06,0.89,1.08,5.03,5.51,2.8,4.38,2.28,5.09,4.29,2.67,0.47,5.68,2.52,2.71,4.07,1.64,3.95,2.34,3.07,3.06,1.11,2.39,3.26,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,2.97,3.47,1.93,3.67,0.96,1.85,1.88,1.14,1.83,1.55,1.94,2.68,2.11,5.98,2.75,2.73,7.03,3.47,3.14,2.52,0.62,1.14,5.62,3.1,1.72,3.24,4.84,5.22,2.11,1.2,2.35,5.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,2.55,5.65,5.67,3.12,0.51,3.02,5.05,1.72,1.73,3.81,2.69,3.5,2.7,0.51,2.84,2.57,5.4,4.11,1.37,1.82,0.87,5.63,3.75,1.83,2.37,3.46,1.65,2.37,1.62,2.88,2.31,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,28.4,33.69,32.94,36.31,31.17,28.99,33.66,26.58,15.67,27.66,28.34,39.13,28.51,31.95,36.6,28.69,28.57,29.96,27.22,28.36,21.44,23.81,32.39,31.86,36.75,23.5,31.73,28.47,25.57,25.8,29.39,26.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 values removed as estimates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
