"LYMINGTON THE SALTERNS",,,,,,,,,,,,
Grid ref,SZ325938,Long,-1.540755,Lat,50.742903,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.68,2.08,1.39,2.46,4.32,0.91,7.15,0.76,1.19,1.00,,
February,3.76,0.70,1.32,2.39,3.46,0.66,3.63,1.45,1.17,0.35,,
March,1.24,3.19,2.47,3.47,1.35,5.64,1.52,0.55,2.64,4.00,,
April,1.16,3.07,1.67,1.92,1.54,2.14,1.30,3.79,2.34,1.49,,
May,1.08,1.05,2.79,5.49,3.23,0.50,2.67,1.93,1.51,1.71,,
June,2.20,2.62,2.73,2.28,1.04,3.63,1.37,2.23,0.37,3.65,,
July,0.90,2.47,1.74,2.44,1.28,0.50,0.79,0.91,2.03,2.79,,
August,2.52,2.75,4.02,3.99,3.06,2.93,0.93,1.56,3.18,2.67,,
September,1.04,1.91,1.03,2.65,2.57,1.72,1.13,0.81,2.02,3.90,,
October,2.79,5.08,2.60,10.01,2.94,2.06,6.26,8.08,1.79,8.81,,
November,3.83,0.52,3.26,1.66,1.50,4.51,4.48,2.90,1.15,0.62,,
December,3.41,4.58,1.80,2.50,3.63,0.58,2.52,3.76,3.81,3.99,,
Total,27.61,30.02,26.82,41.26,29.92,25.78,33.75,28.73,23.20,34.98,,
Calc annual,27.61,30.02,26.82,41.26,29.92,25.78,33.75,28.73,23.20,34.98,,
Difference,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
