RYDE-PIER-STREET-(STRAND),,,,,,,,,,
Grid ref,SZ600926,Long,-1.1512,Lat,50.7304,Elevation,13,ft,,
Station no,RR3112,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,0.85,,,
February,,,,,,,3.26,,,
March,,,,,,,3.9,,,
April,,,,,,,1.96,,,
May,,,,,,,0.27,,,
June,,,,,,,0.87,,,
July,,,,,,,0.33,,,
August,,,,,,,3.21,,,
September,,,,,,,5.33,,,
October,,,,,,,1.86,,,
November,,,,,,,3.51,,,
December,,,,,,,7.48,,,
Total,,,,,,,32.83,,,
,,,,,,,,,,
,,,,,,,,,,
"Crescent House, Strand",,,,,,,,,,
"This is about ½ mile SE from Pier St, but it is about the same distance from the coast and the same altitude",,,,,,,,,,
The original observer at Pier St moved here in the year before he died,,,,,,,,,,
