SLAIDBURN WHITEHOLME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD713519,Long,-2.438919,Lat,53.962379,Elevation,475,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,5.34,,7.89,8.62,8.14,9.53,3.58,9.83,6.71,2.01,0.76,0.75,6.91,8.11,8.37,4.48,7.1,2.93,2.6,2.79,7.9,3.7,4.64,1.98,6.18,3.74,3.54,1.9,4.7,8.86,8.09,3.38,4.43,8.22,4.93,3.27,7.73,3.15,7.13,3.09,7.09,2.65,5.47,5.17,4.67,7.61,6.43,3.86,,
February,3.12,,3.15,1.07,2.7,1.71,8.57,7.25,1.78,2.2,4.16,7.59,4.52,4.13,5.41,3.67,0.68,2.01,1.33,3.25,0.65,0.6,3.97,7.59,8.8,0.73,2.74,5.16,5.58,3.04,4.86,2.08,1.62,5.87,4.62,2.97,4.42,3.94,3.97,6.1,5.83,6.46,2.28,3.2,4.34,7.1,5.65,0.96,,
March,3.47,,6.05,3.91,6.72,1.42,6.91,4.92,4.98,2.62,3.68,7.31,6.4,1.13,3.83,5.16,5.43,3.17,3.81,3.49,4.7,2.53,1.25,2.52,5.31,5.42,7.71,7.91,2.65,4.08,0.64,4.99,3.45,7.5,3.14,4.99,4.59,5.97,4.07,3.45,1.03,2.13,7.78,8.94,6.51,2.22,3.51,3.4,,
April,2.15,,3.41,0.53,2.23,1.49,2.65,3.98,2.11,1.61,1.76,2.21,6.74,2.6,0.7,1.54,3.9,2.29,2.1,3.11,1.76,2.5,2.4,0.71,2.51,3.61,2.36,3.79,3.15,4.68,4.14,2.31,2.46,2.73,4.28,3.75,1.44,2.13,4.83,4.13,3.04,3.14,1.66,5.68,1.38,3.12,4.81,2.14,,
May,2.14,,3.17,2.65,1.39,3.45,1.1,3.49,5.47,1.85,3.04,4.98,2.45,1.15,2.9,3.14,6.1,2.59,1.76,4.48,3.02,3.42,5.09,2.47,2.78,2.08,0.62,2.85,3.11,4,1.93,1.69,3.07,4.01,3.29,0.59,5.52,4.27,3.95,2.88,2.82,2.26,3.24,3.31,2.77,1.78,3.64,2.29,,
June,1.8,,4.61,3.06,1.5,4.11,4.42,2.88,3.92,6.02,4.78,4.31,6.27,4.23,0.25,3.07,2.95,0.43,2.13,1.89,3.94,0.92,4.12,2.27,3.78,3.4,2.9,4.55,3.28,1.76,3.16,2.17,1.32,2.8,1.76,3.52,2.23,9.11,2.75,3.85,3.53,3.75,7.04,3.13,0.72,0.99,2.37,3.77,,
July,1.38,,5.9,4.46,2.79,4.81,3.56,6.44,1.36,5.8,5.96,6.92,7.8,3.88,7.64,2.31,5.74,2.18,6.95,3.46,4.16,4.3,2.06,5.23,4.3,6.85,3.57,2.01,1.11,2.25,2.9,1.84,4.56,4.69,1.76,2.02,2.3,3.34,5.88,6.98,3.57,0.82,3.39,1.69,3.78,4.43,3.96,1.65,,
August,3.06,,5.29,5.92,8.96,3.18,4.72,8.27,6.95,7,1.56,7.82,4.69,5.27,1.7,1.74,2.89,3.25,5.31,6.67,7.04,12.66,7.97,5.13,6.2,6.38,3.48,8.17,7.11,1.93,6.53,4.03,3.11,7.38,4.9,5.56,6.17,5.64,4.9,3.8,6.37,3.65,7.2,2.06,2.31,4.26,4.89,7.9,,
September,3.86,,11.39,2.88,6.01,6.01,6.32,5.1,6.01,3.43,4.25,2.21,2.96,7.02,3.24,7.26,5.5,5.64,1.63,3.15,3.21,5.2,6.03,5.86,0.9,1.91,7.04,5.91,2.35,8.14,2.54,2.42,1.82,7.36,1.88,4.9,2.04,2.31,5.95,2.52,0.45,4.02,1.9,2.48,4.68,0.87,4.32,4.93,,
October,15.72,,8.2,8,7.98,5.37,3.81,8.15,6.64,3.4,3.3,4.6,5.43,8.21,3.6,5.9,6.8,3.25,2.67,5.67,4.07,5.63,6.62,7.46,6.08,6.62,3.65,2.94,4.71,3.58,7.85,4.46,5.83,13.11,2.83,4.26,9.66,4.94,2.13,5.45,3.51,6.17,5.78,2.64,2.34,2.07,12.53,8.53,,
