"REIGATE NUTWOOD LODGE",,,,,,,,,,,,
Grid ref,TQ271520,Long,-0.180122,Lat,51.253011,,,,,,,
Station no,RR2332,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.76,1.32,0.84,2.58,3.77,1.23,,1.15,,,,
February,4.72,1.61,1.13,1.76,3.11,0.82,,1.83,,,,
March,0.89,2.33,1.76,3.16,1.54,3.63,,,,,,
April,1.19,2.29,0.83,2.11,1.56,1.55,,,,,,
May,1.22,0.91,2.37,2.53,2.36,0.65,,,,,,
June,2.45,1.54,3.79,5.63,1.11,4.81,,,,,,
July,1.19,2.09,1.54,4.22,1.01,0.49,,,,,,
August,3.37,2.15,3.07,4.39,1.57,2.31,,,,,,
September,1.35,1.73,0.57,2.89,1.37,2.54,,,,,,
October,1.95,3.38,2.44,6.75,2.30,1.38,,,,,,
November,2.88,0.78,2.37,2.71,1.52,4.37,,,,,,
December,3.23,4.59,1.50,2.09,2.78,0.70,,,,,,
Total,28.20,24.72,22.21,40.82,24.00,24.48,,,,,,
Calc annual,28.20,24.72,22.21,40.82,24.00,24.48,0.00,2.98,0.00,0.00,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
