REIGATE-NUTWOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ271520,Long,-0.180122,Lat,51.253011,Elevation,440,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,2.06,2.76,5.65,4.76,1.49,3.98,1.31,6.22,1.68,3.31,0.74,1.45,1.81,3.57,2.99,2.51,4.61,3.08,1.32,1.93,3.51,2.95,0.65,2.3,4.09,2.24,0.85,2.1,0.86,3.25,3.76,1.32,0.84,2.58,3.77,1.23,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,2.08,1.6,1.48,2.27,1.94,1.19,2.83,2.68,1.75,3.93,3.09,3.4,1.75,4.41,2.13,3.63,0.49,0.73,1.41,3.27,0.8,0.02,1.39,3.78,1.82,0.25,0.39,2.8,1.28,2.87,4.72,1.61,1.13,1.76,3.11,0.82,,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,1.67,1.93,2.49,2.1,0.61,0.81,3.4,3.1,1.02,0.85,0.52,2.32,1.99,1.14,1.96,1.7,1.84,1.96,4.73,2.8,2.89,2.24,1.53,0.97,1.39,1.77,3.46,4.5,1.66,0.65,0.89,2.33,1.76,3.16,1.54,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,0.38,4.18,0.92,0.84,2.16,1.35,2.1,3.93,3.82,3.09,2.05,0.72,3.48,1.44,1.51,1.72,1.75,2.11,2.08,2.43,2.51,0.71,1.41,0.07,2,1.94,0.84,1.67,1.07,2.87,1.19,2.29,0.83,2.11,1.56,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,1.05,0.86,2.74,1.53,0.58,1.04,1.25,2.37,4.01,4.51,0.18,1.29,2.04,2.14,0.53,3.33,4.94,1.94,1.14,2.74,1.74,2.58,1.4,0.76,1.71,0.6,0.25,1.44,3.26,1.31,1.22,0.91,2.37,2.53,2.36,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,1.36,0.46,2.35,3.07,3.45,3.41,2.65,1.6,0.86,1.34,4.45,3.49,2.31,3.04,2.01,1.71,1.34,1.3,0.78,4.4,0.97,2.7,1.59,4.11,0.75,2.68,0.37,2.52,2.53,1.51,0.93,2.45,1.54,3.79,5.63,1.11,4.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,0.68,1.43,3.08,2.79,3.29,1.66,5.35,0.58,3.51,0.96,3.85,4.13,1.47,3.52,3.33,1.56,0.27,3.73,0.82,6.38,2.49,4.5,5.12,1.98,2.76,5.04,5.22,1.71,1.5,0.94,0.77,1.19,2.09,1.54,4.22,1.01,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,1.1,2.2,1.41,1.96,3.22,2.47,1.06,2.83,3.27,5.25,4.39,0.9,5.81,2.26,0.67,1.24,0.96,1.37,2.79,2.19,3.64,3.12,4.78,3.23,0.44,2.43,2.61,2.32,2.61,1.09,0.47,3.37,2.15,3.07,4.39,1.57,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,3.93,1.72,4.78,1.98,2.43,3.16,2.52,3.62,1.52,1.55,3.41,5.1,2.73,2.96,5.01,2.95,5.11,2.48,2.9,1.15,1.09,1.17,1.19,2.5,1.29,1.96,0.45,8.24,2.55,0.4,2.69,1.35,1.73,0.57,2.89,1.37,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,2.37,4.51,1.15,6.03,3.5,5.91,5.03,2.31,2.26,2.78,1.5,7.43,2.89,6.06,3.05,1.55,4.07,3.47,1.87,1.95,5.02,1.34,6.47,4.03,4.07,4.36,3.38,4.3,0.58,3.49,2.12,1.95,3.38,2.44,6.75,2.3,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,2.41,2.24,0.41,4.18,2.95,2.44,3.99,3.05,5.84,4.44,1.85,3.13,4.16,3.38,4.51,1.44,3.08,4.1,4.91,4.67,1,2.29,3.05,2.76,3.17,4.65,5.36,1.7,1.34,3.47,5.38,2.88,0.78,2.37,2.71,1.52,4.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,4.25,3.52,2.22,4.72,0.55,3.8,2.07,6.99,2.41,1.72,0.65,3.88,3.86,3.2,1.1,2.93,1.53,3.96,2.04,1.97,1.9,0.82,4.19,2.2,2.83,2.38,2.72,3.85,3.64,2.96,1.44,3.23,4.59,1.5,2.09,2.78,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,23.32,26.73,38.01,30.89,29.63,31.04,31.87,37.97,30.32,35.79,34.64,32.41,35.49,32.38,22.5,29.25,34.04,25.93,33.39,29.28,27.39,34.89,27.19,23.19,34.51,26.91,30.43,27.26,21.99,24.75,28.2,24.72,22.21,40.82,24,24.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
