TAFF FECHAN NEUADD RESERVOIR NO. 4A,,,,,,,,,,,,
Grid ref,SO032184,Long,-3.406924,Lat,51.855765,,,,,,,
Station no,RR7180,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,6.78,5.28,,
February,,,,,,,,,5.54,2.04,,
March,,,,,,,,,6.57,9.21,,
April,,,,,,,,,4.46,6.25,,
May,,,,,,,,,5.83,2.98,,
June,,,,,,,,,2.78,5.36,,
July,,,,,,,,,8.52,6.58,,
August,,,,,,,,,10.59,3.32,,
September,,,,,,,,,5.31,6.29,,
October,,,,,,,,,5.27,17.28,,
November,,,,,,,,,5.39,4.61,,
December,,,,,,,,,7.97,18.77,,
Total,,,,,,,,,75.01,87.97,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.01,87.97,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
