WRINGTON-THE-RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST469627,Long,-2.764039,Lat,51.360873,Elevation,69,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,1.28,2.56,3.9,3.77,0.79,1.63,0.69,4.93,4.95,1.67,1.48,4.3,3.35,0.45,4.06,1.28,1.81,1.17,4.19,2.17,4.45,6.34,0.93,3.73,2.43,0.87,3.3,5.8,4.56,3.76,3.39,2.2,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,1.57,5.89,4.14,0.15,0.78,3.18,1.44,4.01,5.41,1.55,0.78,1.69,3.77,0.78,2.65,1.73,1.85,0.65,4.47,2.22,3.48,0.94,3.73,4.76,6.2,1.35,2.07,2.98,1.44,0.32,4.14,8.06,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,0.61,0.83,2.64,2.96,3.93,4.8,0.51,0.96,1.18,2.3,1.72,3.92,2.11,4.21,2.24,0.93,3.36,3.25,1.01,3.35,5.63,3.93,5.32,1.21,4.9,3.18,1.14,4.83,2.83,2.34,2.89,1.54,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,1.35,0.07,2.82,2.88,0.97,4.06,1.93,3.34,1.46,2.52,1.23,2.23,1.75,2.51,1.04,3.31,2.63,3.09,3.04,2.24,0.28,3.31,2,1.41,1.6,2.28,3.27,2.27,4.14,1.08,2.92,2.43,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,1.4,1.31,2.59,1.09,0.36,1.63,3.14,2.61,2.23,0.98,2.18,2.16,3.01,0.2,3.48,2.76,1.67,1.93,2.03,1.08,2.34,2.95,2,2.48,4.23,1.54,1.95,0.45,2.29,2.47,1.26,1.8,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,2.52,0.96,2.01,0.89,1.58,2.02,1.14,0.97,2.14,1.51,2.73,4.26,1.3,3.88,2.14,3.08,0.39,3.14,4.76,2.9,4.4,1.53,2.02,0.93,3.04,3.6,1.08,1.28,3.82,0.25,1.45,0.65,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,3.77,5.87,5.88,3.87,2.02,1.49,0.55,0.16,0.92,2.55,2.37,2.71,3.06,1.26,1.37,2.6,2.43,3.07,2.36,0.1,3.6,0.63,4.7,5.42,1,2.13,5.71,2.53,5.24,0.89,4.41,2.29,4.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,4.88,2.95,3.76,3.34,2.96,5.73,2.75,3.46,4.02,2.04,3.68,3.89,2.73,4.59,2.69,3.23,5.65,2.4,7.2,1.89,8.82,1.42,3.33,3.04,5.81,8.27,2.67,2.91,2.76,2.37,4.54,3.28,5.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,4.73,2.29,3.12,1.69,7.72,4.74,1.23,3.64,0.98,2.24,1.95,3.03,1.82,1.9,1.07,0.63,2.4,2.73,0.26,1.73,0.54,2.37,1.65,2.03,1.76,2.84,9.17,1.53,1.98,3.4,2.7,4.14,4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,3.33,6.3,4.41,6.12,2.6,1.16,5.9,3.45,3.5,2.14,2.07,9.2,1.46,2.02,5.43,5.7,1.6,6.97,5.46,2.91,5.03,3.15,2.37,3.97,7.16,7.27,2.26,2.73,2.15,1.71,1.64,4.48,6.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
